,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ (3 meses),Rec Serviços,Rec Serviços (3 meses)
0,TTEN3,16.41,ON NM,17/04/2025,3TENTOS ON NM,9.08,Agropecuária,16.43,Agricultura,19380300.0,8177060000.0,31/12/2024,8471680000.0,498298000.0,10.78,1.52,2.03,8.1,6.59,19.7,0.64,9.7,0.92,5.9,3.88,14.0,8.77,24.6,18.8,6.34,1.58,6.82,0.51,39.9,1.44,8889420000.0,2066880000.0,1772260000.0,294617000.0,5776390000.0,4037710000.0,12825800000.0,3853520000.0,1241420000.0,331046000.0,758623000.0,136187000.0,1.2,,,,,,
1,SLCE3,20.15,ON NM,17/04/2025,SLC Agricola ON NM,16.74,Agropecuária,20.83,Agricultura,60358700.0,8933090000.0,31/12/2024,12551900000.0,443330000.0,17.54,1.15,2.23,9.02,5.87,29.6,1.14,19.5,0.51,6.2,3.98,8.7,-1.76,11.1,12.7,6.94,1.37,8.25,1.4,19.3,0.44,17574300000.0,5598400000.0,1979580000.0,3618830000.0,8390260000.0,3997670000.0,7803630000.0,2045090000.0,1521380000.0,268937000.0,509410000.0,-34633000.0,4.1,,,,,,
2,AMBP3,135.25,ON NM,17/04/2025,AMBIPAR ON NM,8.05,Água e Saneamento,268.51,Água e Saneamento,12868400.0,22592400000.0,31/12/2024,27541600000.0,167042000.0,-78.54,-1.72,13.87,9.75,20.91,19.6,3.52,16.8,1.54,-2.7,5.51,7.4,-3.98,10.4,-17.7,16.17,2.91,25.49,5.42,70.9,0.44,14655300000.0,8818830000.0,3869710000.0,4949120000.0,6243540000.0,1628300000.0,6413680000.0,1610560000.0,1080630000.0,215520000.0,-287668000.0,75538000.0,,,,,,,
3,SAPR11,28.44,UNT N2,17/04/2025,SANEPAR UNT N2,23.41,Água e Saneamento,31.86,Água e Saneamento,24073600.0,8595740000.0,31/12/2024,13426300000.0,1511210000.0,5.56,5.11,0.79,35.83,3.72,57.8,1.26,33.8,0.42,22.6,5.95,11.3,-1.35,12.6,14.3,4.67,1.78,5.81,0.61,9.4,0.33,20508000000.0,6631330000.0,1800760000.0,4830580000.0,3296190000.0,10828700000.0,6848220000.0,1776210000.0,2312870000.0,642564000.0,1545350000.0,412870000.0,5.5,,,,,,
4,CSMG3,20.01,ON,17/04/2025,COPASA MG ON,18.13,Água e Saneamento,24.91,Água e Saneamento,44563400.0,7608860000.0,31/12/2024,12902000000.0,380253000.0,5.78,3.46,0.95,21.17,3.53,42.8,0.97,27.3,0.49,16.7,10.38,13.9,-1.5,15.0,16.4,4.37,1.44,5.99,0.76,10.6,0.51,15511800000.0,6113170000.0,820054000.0,5293110000.0,2406410000.0,8048230000.0,7878010000.0,2006210000.0,2153280000.0,490044000.0,1316920000.0,271930000.0,12.0,,,,,,
5,ORVR3,44.55,ON NM,17/04/2025,ORIZON ON NM,35.67,Água e Saneamento,49.5,Água e Saneamento,15536300.0,3695460000.0,31/12/2024,5069460000.0,82950900.0,60.68,0.73,4.75,9.38,14.82,45.8,4.09,27.6,1.11,8.2,7.56,7.5,-2.39,9.1,7.8,12.51,2.15,20.33,2.4,25.2,0.27,3334200000.0,1867300000.0,493299000.0,1374000000.0,911748000.0,778156000.0,903473000.0,230206000.0,249364000.0,51635000.0,60897000.0,-10536000.0,,,,,,,
6,BEEF3,7.41,ON NM,17/04/2025,Minerva ON NM,4.29,Alimentos Processados,7.95,Carnes e Derivados,65678100.0,4499970000.0,31/12/2024,20121100000.0,607283000.0,-2.89,-2.57,-9.4,-0.79,1.9,20.6,0.13,6.9,0.11,-4.6,0.57,5.6,-0.26,11.0,325.7,6.63,1.48,8.5,-62.85,11.9,0.81,42141900000.0,30082100000.0,14460900000.0,15621200000.0,24456800000.0,-478639000.0,34068900000.0,10714200000.0,2366090000.0,715334000.0,-1558710000.0,-1532270000.0,,,,,,,
7,MRFG3,20.7,ON NM,17/04/2025,Marfrig ON NM,7.79,Alimentos Processados,20.7,Carnes e Derivados,116068000.0,17759100000.0,31/12/2024,60983400000.0,857928000.0,6.35,3.26,6.29,3.29,2.85,13.2,0.12,4.2,0.13,2.6,1.48,4.5,-0.28,6.6,99.0,4.54,1.28,9.78,23.38,22.4,1.08,137510000000.0,66019800000.0,22795500000.0,43224300000.0,54934700000.0,2824140000.0,148861000000.0,42150300000.0,6236880000.0,1778960000.0,2795400000.0,2578280000.0,14.5,,,,,,
8,JBSS3,43.55,ON NM,17/04/2025,JBS ON NM,20.27,Alimentos Processados,43.55,Carnes e Derivados,357799000.0,96599000000.0,31/12/2024,180669000000.0,2218120000.0,10.05,4.34,2.16,20.19,3.97,15.1,0.23,5.8,0.38,2.6,2.86,9.7,-1.01,13.7,21.5,5.0,1.47,7.42,2.67,9.5,1.65,251936000000.0,119677000000.0,35607100000.0,84070200000.0,106018000000.0,44780900000.0,416952000000.0,116701000000.0,24351200000.0,5973450000.0,9615920000.0,2412170000.0,6.9,,,,,,
9,BRFS3,21.15,ON NM,17/04/2025,BRF Foods ON NM,15.81,Alimentos Processados,28.59,Carnes e Derivados,166980000.0,35584300000.0,31/12/2024,44265400000.0,1682470000.0,11.07,1.91,2.36,8.97,5.23,25.8,0.58,11.1,0.57,6.0,3.55,10.8,-2.32,18.9,21.3,4.29,1.48,6.51,1.37,10.4,0.98,62675100000.0,20740500000.0,12059400000.0,8681100000.0,30830500000.0,15085700000.0,61379000000.0,17549200000.0,6800100000.0,1843630000.0,3213270000.0,695973000.0,3.3,,,,,,
10,MDIA3,25.18,ON NM,17/04/2025,MDIASBRANCO ON NM,19.0,Alimentos Processados,34.84,Alimentos Diversos,16115600.0,8536020000.0,31/12/2024,8755980000.0,339000000.0,13.21,1.91,1.07,23.59,8.78,34.4,0.88,10.1,0.67,6.7,2.61,7.6,6.95,10.2,8.1,6.53,2.2,9.0,0.3,9.4,0.76,12768900000.0,2389690000.0,2169730000.0,219955000.0,5999120000.0,7997940000.0,9662830000.0,2488900000.0,972450000.0,299885000.0,645948000.0,176497000.0,2.1,,,,,,
11,ONCO3,5.47,ON NM,17/04/2025,ONCOCLINICAS ON NM,1.77,ServMédHospit Análises e Diagnósticos,9.38,ServMédHospit Análises e Diagnósticos,37224100.0,3565110000.0,31/12/2024,7155130000.0,651756000.0,-5.52,-0.99,1.13,4.83,5.37,33.1,0.57,10.7,0.32,-11.5,1.61,5.9,-1.13,8.0,-20.5,7.23,1.9,10.78,1.74,34.3,0.56,11202300000.0,5478400000.0,1888370000.0,3590020000.0,4660780000.0,3146350000.0,6227230000.0,1566040000.0,663654000.0,90158000.0,-646190000.0,-643144000.0,,,,,,,
12,MATD3,4.22,ON NM,17/04/2025,MATER DEI ON NM,3.48,ServMédHospit Análises e Diagnósticos,6.05,ServMédHospit Análises e Diagnósticos,1715930.0,1432390000.0,31/12/2024,2179990000.0,339428000.0,-4.23,-1.0,0.99,4.27,3.85,30.1,0.64,16.7,0.33,-14.6,1.42,8.6,-1.03,10.5,-23.4,4.53,3.16,5.86,0.98,29.0,0.51,4340850000.0,1422920000.0,675316000.0,747605000.0,1477700000.0,1448430000.0,2226000000.0,487038000.0,371888000.0,59852000.0,-338440000.0,8278010.0,2.0,,,,,,
13,KRSA3,8.87,ON NM,14/04/2025,KORA SAUDE ON NM,4.24,ServMédHospit Análises e Diagnósticos,8.92,ServMédHospit Análises e Diagnósticos,494016.0,685960000.0,31/12/2024,3424480000.0,77334800.0,-3.87,-2.29,0.84,10.52,2.58,20.0,0.3,11.7,0.14,-7.4,1.01,5.6,-0.27,6.4,-21.8,7.85,2.0,12.89,3.68,37.7,0.47,4777870000.0,2991210000.0,252681000.0,2738520000.0,1358570000.0,813456000.0,2268230000.0,556447000.0,265605000.0,55143000.0,-177278000.0,-95494000.0,,,,,,,
14,DASA3,1.8,ON,17/04/2025,DIAGNOSTICOS DA AMERICA SA ON,1.63,ServMédHospit Análises e Diagnósticos,4.76,ServMédHospit Análises e Diagnósticos,1444030.0,2259010000.0,31/12/2024,10760700000.0,1255010000.0,-1.88,-0.96,0.29,6.32,2.24,27.4,0.15,6.6,0.09,-7.8,0.78,3.8,-0.22,4.4,-15.1,4.53,1.55,10.69,1.31,20.5,0.58,26458500000.0,10397000000.0,1895330000.0,8501680000.0,8203060000.0,7926010000.0,15322100000.0,3669190000.0,1006520000.0,18155900.0,-1198990000.0,-830923000.0,,,,,,,
15,FLRY3,12.29,ON NM,17/04/2025,FLEURY ON NM,10.64,ServMédHospit Análises e Diagnósticos,15.9,ServMédHospit Análises e Diagnósticos,43591800.0,6724980000.0,31/12/2024,9774800000.0,547191000.0,10.91,1.13,1.27,9.67,5.54,27.9,0.88,15.8,0.51,7.9,2.55,9.3,-2.03,12.1,11.6,4.9,2.51,8.05,1.02,27.3,0.59,13062400000.0,5391560000.0,2341740000.0,3049820000.0,4375790000.0,5289070000.0,7684660000.0,1839340000.0,1214820000.0,200098000.0,616172000.0,83922000.0,8.3,,,,,,
16,RDOR3,29.87,ON NM,17/04/2025,REDE D OR ON NM,22.83,ServMédHospit Análises e Diagnósticos,34.2,ServMédHospit Análises e Diagnósticos,181692000.0,68381200000.0,31/12/2024,68614000000.0,2289290000.0,17.78,1.68,2.77,10.79,9.2,18.7,1.35,14.7,0.67,7.8,2.04,7.2,-2.79,11.9,15.6,7.57,2.88,9.23,1.57,40.3,0.49,102598000000.0,38870600000.0,38637800000.0,232841000.0,51361400000.0,24702600000.0,50571300000.0,12849000000.0,7435730000.0,1874800000.0,3846950000.0,925025000.0,2.3,,,,,,
17,QUAL3,2.1,ON NM,17/04/2025,QUALICORP ON NM,1.35,ServMédHospit Análises e Diagnósticos,2.64,ServMédHospit Análises e Diagnósticos,4635960.0,596429000.0,31/12/2024,1585330000.0,284014000.0,90.66,0.02,0.47,4.51,1.17,83.1,0.38,32.4,0.14,1.0,3.86,11.7,-0.42,17.2,0.5,1.74,1.1,3.1,1.47,-6.5,0.36,4366330000.0,1881850000.0,892946000.0,988905000.0,1657880000.0,1282270000.0,1580460000.0,384412000.0,511955000.0,135040000.0,6579000.0,-34386000.0,,,,,,,
18,AMOB3,0.25,ON NM,17/04/2025,AUTOMOB ON NM,0.24,Automóveis e Motocicletas,0.5,Automóveis e Motocicletas,3221160.0,473576000.0,31/12/2024,2990280000.0,1894300000.0,-4.49,-0.06,0.21,1.22,2.15,13.6,0.04,1.8,0.05,-0.9,0.24,2.5,-0.38,3.5,-4.6,6.97,1.59,13.55,1.46,382.5,1.37,8909800000.0,3353340000.0,836643000.0,2516700000.0,5362970000.0,2302580000.0,12240000000.0,10044000000.0,220606000.0,250474000.0,-105482000.0,-43446000.0,,,,,,,
19,MYPK3,11.37,ON,17/04/2025,IOCHPE-MAXION ON,9.78,Automóveis e Motocicletas,13.63,Automóveis e Motocicletas,14148200.0,1747800000.0,31/12/2024,5673080000.0,153720000.0,6.6,1.72,0.38,29.65,1.71,11.9,0.11,6.7,0.11,2.5,0.57,6.4,-0.5,9.1,5.8,3.72,1.72,5.55,1.4,12.8,0.96,15961400000.0,6388760000.0,2463470000.0,3925280000.0,7390950000.0,4557900000.0,15331800000.0,3909110000.0,1022900000.0,246768000.0,264719000.0,68365000.0,6.3,,,,,,
20,LEVE3,30.46,ON,17/04/2025,MAHLE METAL LEVE ON,26.18,Automóveis e Motocicletas,34.03,Automóveis e Motocicletas,9732970.0,4128520000.0,31/12/2024,4838830000.0,135539000.0,7.63,3.99,5.37,5.67,5.06,28.5,0.91,17.9,1.15,11.9,6.92,22.7,-6.3,36.2,70.5,5.26,1.38,5.94,1.39,15.8,1.27,3593300000.0,1068530000.0,358222000.0,710308000.0,2167880000.0,768444000.0,4557980000.0,1317780000.0,815250000.0,159214000.0,541390000.0,110635000.0,7.8,,,,,,
21,ABEV3,14.0,ON,17/04/2025,AMBEV S/A ON,10.45,Bebidas,14.0,Cervejas e Refrigerantes,489717000.0,220663000000.0,31/12/2024,194278000000.0,15761600000.0,15.28,0.92,2.24,6.26,11.35,51.2,2.47,21.7,1.36,16.6,46.29,12.0,-25.16,17.9,14.6,7.42,1.1,9.99,0.04,9.9,0.55,162508000000.0,3452730000.0,29837700000.0,-26384900000.0,54155800000.0,98642100000.0,89452700000.0,27035400000.0,19445200000.0,6826350000.0,14437200000.0,4880380000.0,5.7,,,,,,
22,AMAR3,1.31,ON NM,17/04/2025,LOJAS MARISA ON NM,0.89,Comércio,1.89,Tecidos. Vestuário e Calçados,665742.0,672627000.0,31/12/2024,1219710000.0,513456000.0,-2.13,-0.62,2.36,0.55,11.16,49.1,0.48,4.3,0.35,-22.7,-2.18,3.2,-0.64,4.0,-111.0,5.38,0.65,20.25,2.25,-12.1,0.73,1904260000.0,639135000.0,92052000.0,547083000.0,576502000.0,284608000.0,1392170000.0,468360000.0,60246000.0,76344000.0,-315784000.0,5781000.0,,,,,,,
23,BHIA3,5.78,ON,17/04/2025,CASAS BAHIA ON,2.65,Comércio,10.32,Eletrodomésticos,65110700.0,549603000.0,31/12/2024,7581600000.0,95087000.0,-0.53,-10.99,0.22,26.05,0.32,30.8,0.02,6.2,0.02,-3.8,-0.11,5.0,-0.03,7.3,-42.2,2.74,0.73,4.47,3.81,-1.9,0.8,33889000000.0,9446000000.0,2414000000.0,7032000000.0,14140000000.0,2477000000.0,27206000000.0,7981000000.0,1696000000.0,562000000.0,-1045000000.0,-452000000.0,,,,,,,
24,ALLD3,6.8,ON NM,17/04/2025,ALLIED ON NM,5.89,Comércio,8.0,Eletrodomésticos,317600.0,642016000.0,31/12/2024,719783000.0,94414100.0,4.41,1.54,0.4,16.83,4.88,11.9,0.12,2.4,0.18,2.6,0.58,3.8,1.14,6.8,9.2,3.9,1.83,5.47,0.32,3.4,1.59,3480240000.0,505728000.0,427961000.0,77767000.0,2452530000.0,1588990000.0,5521380000.0,1386630000.0,131596000.0,42618000.0,145532000.0,59686000.0,19.0,,,,,,
25,SBFG3,11.27,ON,17/04/2025,GRUPO SBF ON,9.74,Comércio,18.51,Produtos Diversos,18310000.0,2750030000.0,31/12/2024,4670620000.0,244013000.0,5.13,2.2,0.91,12.34,4.63,49.1,0.38,8.3,0.31,7.5,1.66,6.6,-2.6,8.7,17.8,4.58,1.51,7.86,0.97,28.3,0.8,8945970000.0,2917310000.0,996713000.0,1920600000.0,4874550000.0,3012210000.0,7151710000.0,2172270000.0,594268000.0,192033000.0,536256000.0,135436000.0,1.5,,,,,,
26,CGRA3,27.05,ON,17/04/2025,GRAZZIOTIN ON,22.41,Comércio,28.48,Tecidos. Vestuário e Calçados,36890.0,564231000.0,31/12/2024,357043000.0,20858800.0,5.39,5.02,0.59,45.69,6.09,52.8,0.77,12.7,0.42,14.4,1.51,6.8,2.47,8.9,11.0,2.96,2.47,3.85,-,11.2,0.54,1353420000.0,,207188000.0,-207188000.0,628497000.0,952978000.0,728592000.0,216738000.0,92690000.0,34143000.0,104649000.0,49239000.0,9.9,,,,,,
27,CEAB3,12.72,ON NM,17/04/2025,CEA MODAS ON NM,7.44,Comércio,13.31,Tecidos. Vestuário e Calçados,42730600.0,3920880000.0,31/12/2024,3846350000.0,308245000.0,8.67,1.47,1.19,10.73,4.2,54.7,0.51,12.2,0.39,5.9,3.43,9.3,-2.24,15.0,13.7,3.0,1.3,4.12,0.45,16.4,0.76,10053900000.0,1498010000.0,1572530000.0,-74522000.0,4993390000.0,3308480000.0,7636540000.0,2552110000.0,934255000.0,475084000.0,452477000.0,254945000.0,2.7,,,,,,
28,GUAR3,7.57,ON,17/04/2025,GUARARAPES CONFECÇÕES ON,5.67,Comércio,9.71,Tecidos. Vestuário e Calçados,10861700.0,3778940000.0,31/12/2024,4277720000.0,499200000.0,16.07,0.47,0.7,10.82,4.77,59.0,0.39,8.2,0.28,2.4,1.33,5.8,6.85,7.3,4.4,2.88,1.48,5.39,0.36,11.2,0.71,13633300000.0,1971000000.0,1472220000.0,498780000.0,8781160000.0,5403620000.0,9634210000.0,3026030000.0,792926000.0,402748000.0,235138000.0,249982000.0,1.6,,,,,,
29,AZZA3,27.6,ON,17/04/2025,AZZAS 2154 ON,21.5,Comércio,54.37,Tecidos. Vestuário e Calçados,79181400.0,5699120000.0,31/12/2024,7579310000.0,206490000.0,16.68,1.65,0.74,37.3,9.8,53.3,0.68,6.9,0.37,4.0,2.46,3.8,-8.14,4.6,4.4,7.61,1.51,13.04,0.34,46.6,0.55,15253500000.0,2654730000.0,774543000.0,1880190000.0,6831680000.0,7702650000.0,8379750000.0,3403840000.0,581271000.0,152971000.0,341727000.0,-67254000.0,3.1,,,,,,
30,MGLU3,10.2,ON NM,17/04/2025,MAGAZ LUIZA ON NM,5.81,Comércio,16.7,Eletrodomésticos,306495000.0,7537750000.0,31/12/2024,9954820000.0,738995000.0,16.8,0.61,0.67,15.32,4.21,30.6,0.2,4.7,0.2,1.2,2.65,4.8,-1.17,7.2,4.0,3.19,1.17,5.57,0.4,5.9,1.02,37311900000.0,4582160000.0,2165090000.0,2417070000.0,19550800000.0,11319300000.0,38038100000.0,10787300000.0,1788670000.0,518985000.0,448717000.0,294821000.0,,,,,,,
31,VSTE3,6.61,ON,17/04/2025,VESTE ON,5.53,Comércio,17.5,Tecidos. Vestuário e Calçados,115530.0,753547000.0,31/12/2024,1046510000.0,114001000.0,1133.15,0.01,0.72,9.15,17.99,63.3,0.68,3.8,0.45,0.1,4.53,2.5,-6.03,2.8,0.1,4.88,1.52,24.98,0.33,15.9,0.67,1656530000.0,347894000.0,54932000.0,292962000.0,488209000.0,1043280000.0,1111550000.0,308663000.0,41888000.0,21683000.0,665000.0,12038000.0,0.7,,,,,,
32,LJQQ3,2.68,ON NM,17/04/2025,QUERO-QUERO ON NM,1.88,Comércio,5.28,Produtos Diversos,9184960.0,522796000.0,31/12/2024,404306000.0,195073000.0,3580.79,,0.96,2.8,6.61,34.8,0.2,3.0,0.14,,0.55,2.1,-1.01,3.1,,1.92,1.56,5.11,0.98,12.3,0.72,3702250000.0,534522000.0,653012000.0,-118490000.0,2639840000.0,545997000.0,2666330000.0,727438000.0,79139000.0,32942000.0,146000.0,6252000.0,4.6,,,,,,
33,VVEO3,1.25,ON NM,17/04/2025,VIVEO ON NM,1.24,Comércio e Distribuição,6.37,Medicamentos e Outros Produtos,2059860.0,403526000.0,31/12/2024,3145770000.0,322821000.0,-0.29,-4.38,0.21,5.97,-2.41,11.3,0.03,-1.4,0.04,-12.2,0.17,-1.8,-0.17,-2.5,-73.5,21.89,1.85,-18.79,2.01,28.5,1.21,9544200000.0,3872400000.0,1130160000.0,2742240000.0,5269720000.0,1926520000.0,11583400000.0,2918370000.0,-167431000.0,-339336000.0,-1415490000.0,-1093080000.0,10.9,,,,,,
34,PFRM3,7.5,ON NM,17/04/2025,PROFARMA ON NM,4.7,Comércio e Distribuição,7.64,Medicamentos e Outros Produtos,1922390.0,928598000.0,31/12/2024,1498760000.0,123813000.0,8.1,0.93,0.71,10.52,3.12,15.0,0.09,2.9,0.17,1.2,0.9,5.3,-89.95,9.7,8.8,3.21,1.34,5.03,0.61,16.6,1.81,5616240000.0,799719000.0,229552000.0,570167000.0,4020090000.0,1303100000.0,10153600000.0,3015910000.0,297859000.0,82639100.0,114579000.0,35549000.0,7.7,,,,,,
35,DMVF3,6.5,ON NM,17/04/2025,D1000VFARMA ON NM,5.08,Comércio e Distribuição,8.38,Medicamentos e Outros Produtos,544474.0,328919000.0,31/12/2024,310192000.0,50603000.0,12.72,0.51,0.37,17.72,4.96,30.6,0.15,3.1,0.18,1.2,4.45,3.6,-0.98,4.7,2.9,1.69,1.14,4.68,0.04,21.6,1.18,1834450000.0,38871000.0,57598000.0,-18727000.0,602480000.0,896712000.0,2160650000.0,621188000.0,66292000.0,-16759000.0,25857000.0,3500000.0,,,,,,,
36,GMAT3,7.47,ON NM,17/04/2025,GRUPO MATEUS ON NM,5.85,Comércio e Distribuição,8.0,Alimentos,28651200.0,16796100000.0,31/12/2024,17405800000.0,2248470000.0,12.74,0.59,1.71,4.38,8.0,22.6,0.52,6.5,0.89,4.2,2.3,11.1,5.65,14.8,13.4,7.03,2.56,8.29,0.23,27.4,1.69,18959300000.0,2273860000.0,1664170000.0,609691000.0,11969300000.0,9850300000.0,32085400000.0,8726980000.0,2098800000.0,634692000.0,1318190000.0,383048000.0,2.8,,,,,,
37,PGMN3,3.28,ON NM,17/04/2025,PAGUE MENOS ON NM,2.05,Comércio e Distribuição,3.47,Medicamentos e Outros Produtos,4818710.0,2042370000.0,31/12/2024,3309360000.0,622673000.0,19.81,0.17,0.75,4.36,3.6,31.8,0.16,4.5,0.23,0.8,1.66,6.3,-1.24,8.7,3.8,3.05,1.36,5.84,0.52,17.6,1.41,8983700000.0,1416380000.0,149386000.0,1266990000.0,4614660000.0,2714840000.0,12641800000.0,3349190000.0,567094000.0,149079000.0,103099000.0,66463000.0,7.0,,,,,,
38,INTB3,13.05,ON NM,17/04/2025,INTELBRAS ON NM,11.42,Computadores e Equipamentos,23.95,Computadores e Equipamentos,34337700.0,4275320000.0,31/12/2024,4328950000.0,327611000.0,8.08,1.61,1.45,8.98,7.65,30.8,0.9,11.7,0.77,11.1,1.87,10.0,2.9,16.1,18.0,6.6,2.27,7.75,0.32,20.8,0.85,5569520000.0,941730000.0,888109000.0,53621000.0,4076780000.0,2941910000.0,4756150000.0,1287680000.0,558553000.0,134809000.0,528934000.0,126694000.0,3.5,,,,,,
39,POSI3,5.42,ON NM,17/04/2025,POSITIVO TEC ON NM,4.87,Computadores e Equipamentos,10.19,Computadores e Equipamentos,5316360.0,768556000.0,31/12/2024,1484450000.0,141800000.0,9.56,0.57,0.47,11.54,2.88,25.1,0.21,7.2,0.17,2.3,0.52,6.0,5.23,8.2,4.9,4.58,1.97,5.56,0.78,12.7,0.83,4466990000.0,1282820000.0,566929000.0,715895000.0,2967750000.0,1635830000.0,3688330000.0,1061010000.0,266891000.0,78399000.0,80378000.0,12216000.0,7.7,,,,,,
40,MRVE3,5.57,ON NM,17/04/2025,MRV ON NM,4.48,Construção Civil,8.13,Incorporações,61172400.0,3134950000.0,31/12/2024,12501000000.0,562827000.0,-6.23,-0.89,0.49,11.43,3.48,26.4,0.35,10.0,0.11,-5.4,0.56,3.1,-0.38,3.2,-7.8,11.65,1.68,13.88,1.52,6.7,0.31,29430700000.0,9780620000.0,414563000.0,9366050000.0,13695100000.0,6432590000.0,9009040000.0,2376100000.0,900463000.0,266433000.0,-503202000.0,-249848000.0,,,,,,,
41,GFSA3,1.57,ON,17/04/2025,GAFISA ON,1.09,Construção Civil,5.95,Incorporações,12883700.0,211284000.0,31/12/2024,1848040000.0,134576000.0,-5.21,-0.3,0.11,14.5,-1.07,-5.4,0.21,-19.6,0.04,-4.0,0.2,-3.7,-1.38,-4.0,-2.1,-10.02,1.5,-9.32,0.97,5.9,0.19,5302370000.0,1883620000.0,246859000.0,1636760000.0,3196750000.0,1951190000.0,1012350000.0,359596000.0,-198332000.0,-63332000.0,-40577000.0,1884000.0,,,,,,,
42,VIVR3,0.99,ON NM,17/04/2025,VIVER ON NM,0.96,Construção Civil,3.05,Incorporações,188724.0,37982300.0,31/12/2024,39015300.0,38366000.0,-0.86,-1.16,0.27,3.71,15.25,29.9,0.34,2.2,0.14,-38.4,0.77,0.9,-2.94,1.0,-31.2,13.42,1.71,15.66,0.15,21.0,0.4,278798000.0,20670000.0,19637000.0,1033000.0,118084000.0,142168000.0,112726000.0,14786000.0,2491000.0,-2894000.0,-44354000.0,-358000.0,,,,,,,
43,RDNI3,2.58,ON NM,17/04/2025,RNI ON NM,2.05,Construção Civil,3.65,Incorporações,21432.0,112927000.0,31/12/2024,653204000.0,43770000.0,-0.8,-3.24,0.42,6.13,-2.52,15.5,0.21,-8.3,0.07,-25.2,0.45,-2.8,-0.17,-2.9,-52.8,-17.12,1.62,-14.57,2.17,9.5,0.34,1613890000.0,581903000.0,41626000.0,540277000.0,654315000.0,268453000.0,541312000.0,92865000.0,-44846000.0,-36254000.0,-141864000.0,-54403000.0,,,,,,,
44,TCSA3,1.4,ON NM,17/04/2025,TECNISA ON NM,1.25,Construção Civil,2.64,Incorporações,104807.0,103067000.0,31/12/2024,619277000.0,73619000.0,-0.69,-2.02,0.27,5.19,-0.89,-8.1,0.22,-24.6,0.08,-32.1,0.74,-8.7,-0.25,-10.0,-38.8,-5.72,1.34,-5.34,1.77,35.1,0.35,1339070000.0,678478000.0,162268000.0,516210000.0,545646000.0,382315000.0,470626000.0,117793000.0,-115916000.0,-32333000.0,-148412000.0,-53620000.0,,,,,,,
45,PDGR3,0.75,ON NM,17/04/2025,PDG REALT ON NM,0.54,Construção Civil,37.5,Incorporações,1698570.0,10461000.0,31/12/2024,186528000.0,13948000.0,-0.02,-30.84,,-233.92,-0.11,2.5,0.09,-76.5,0.02,-358.3,-0.02,-17.2,,-38.5,13.2,-2.05,0.32,-2.03,-0.06,-23.3,0.22,534650000.0,205479000.0,29412000.0,176067000.0,331516000.0,-3262760000.0,119955000.0,6501000.0,-91724000.0,-25552000.0,-430127000.0,-20100000.0,,,,,,,
46,HBOR3,1.99,ON,17/04/2025,Helbor ON,1.31,Construção Civil,2.87,Incorporações,1101260.0,266363000.0,31/12/2024,1777210000.0,133851000.0,4.71,0.42,0.18,10.85,1.26,33.5,0.21,16.6,0.04,12.8,0.26,3.2,-0.25,3.4,3.9,7.35,1.52,8.42,1.37,8.6,0.19,6697410000.0,1991680000.0,480836000.0,1510840000.0,2926490000.0,1452150000.0,1270380000.0,305907000.0,211035000.0,67472000.0,56508000.0,31828000.0,4.6,,,,,,
47,LAVV3,9.7,ON NM,17/04/2025,LAVVI ON NM,6.74,Construção Civil,9.7,Incorporações,5319580.0,1895710000.0,31/12/2024,1774830000.0,195434000.0,5.53,1.75,1.28,7.6,5.67,33.8,1.22,21.6,0.55,25.3,0.9,9.7,2.06,12.8,23.1,5.29,4.93,5.31,0.44,39.3,0.45,3457890000.0,655480000.0,776364000.0,-120884000.0,2636140000.0,1485860000.0,1549300000.0,575419000.0,334415000.0,141720000.0,342514000.0,119950000.0,10.4,,,,,,
48,CYRE3,25.64,PN,17/04/2025,CYRELA BRAZIL REALTY PN,16.27,Construção Civil,25.64,Incorporações,127263000.0,9845760000.0,31/12/2024,12767700000.0,384000000.0,5.97,4.29,1.11,23.16,6.75,32.4,1.24,18.3,0.46,17.3,1.17,6.9,11.96,8.1,18.5,8.33,3.27,8.76,0.67,18.9,0.38,21241000000.0,5974580000.0,3052590000.0,2921990000.0,12115100000.0,8894660000.0,7965690000.0,2506270000.0,1458150000.0,492080000.0,1649000000.0,496632000.0,2.4,,,,,,
