,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ (3 meses),Rec Serviços,Rec Serviços (3 meses)
343,CSNA3,7.82,ON,18/07/2025,CSN ON,7.25,Siderurgia e Metalurgia,12.66,Siderurgia,73975700.0,10370100000.0,31/03/2025,42885000000.0,1326090000.0,-3.96,-1.98,0.79,9.87,1.77,26.8,0.23,13.0,0.1,-4.0,0.75,5.9,-0.22,8.1,-20.0,4.4,1.64,7.32,4.07,3.2,0.45,99758300000.0,53266100000.0,20751100000.0,32514900000.0,35568500000.0,13083900000.0,44882100000.0,10907600000.0,5856470000.0,1254610000.0,-2621300000.0,-619146000.0,7.0,,,,,,
344,MGEL4,4.02,PN N1,18/07/2025,MANGELS PN N1,3.98,Siderurgia e Metalurgia,13.5,Artefatos de Ferro e Aço,17896.0,23248500.0,31/03/2025,586602000.0,5783210.0,-0.93,-4.33,2.49,1.61,0.31,12.1,0.02,7.7,0.03,-2.6,0.17,9.6,-0.06,11.7,-268.8,6.12,1.56,7.88,66.91,9.9,1.24,777139000.0,623545000.0,60192000.0,563353000.0,371746000.0,9319000.0,966702000.0,245015000.0,74413000.0,17529000.0,-25052000.0,9183000.0,,,,,,,
345,PMAM3,1.64,ON,18/07/2025,PARANAPANEMA SA ON,0.78,Siderurgia e Metalurgia,2.44,Artefatos de Cobre,802553.0,131740000.0,31/03/2025,5297780000.0,80329000.0,-0.07,-24.24,-0.02,-79.81,-0.54,-31.4,0.25,-47.4,0.08,-376.6,-0.02,-15.5,-0.02,-28.2,30.4,-32.89,0.06,-21.6,-0.81,-47.0,0.33,1584100000.0,5202330000.0,36294000.0,5166040000.0,368087000.0,-6411200000.0,517065000.0,134124000.0,-245227000.0,-60258000.0,-1947360000.0,-131917000.0,,,,,,,
346,TKNO4,80.0,PN,18/07/2025,TEKNO PN,51.6,Siderurgia e Metalurgia,84.0,Artefatos de Ferro e Aço,2241.0,235840000.0,31/03/2025,167199000.0,2948000.0,4.91,16.28,0.73,110.12,5.49,26.5,0.79,14.4,0.58,16.1,1.36,10.5,1.49,14.2,14.8,3.29,3.45,3.89,0.01,6.6,0.73,409993000.0,2178000.0,70819000.0,-68641000.0,243570000.0,324623000.0,297751000.0,70466000.0,42988000.0,6873000.0,47998000.0,10328000.0,8.8,,,,,,
347,FESA4,6.6,PN,18/07/2025,FERBASA PN,6.6,Siderurgia e Metalurgia,8.18,Siderurgia,3699140.0,2330960000.0,31/03/2025,1844460000.0,353175000.0,7.51,0.88,0.69,9.52,11.25,19.7,1.02,9.1,0.54,13.6,2.06,4.8,3.32,6.2,9.2,3.88,3.09,8.9,0.1,3.2,0.53,4334560000.0,352231000.0,838723000.0,-486492000.0,1671970000.0,3363440000.0,2277060000.0,549849000.0,207146000.0,20754000.0,310542000.0,24183000.0,7.6,,,,,,
348,GOAU3,9.0,ON N1,18/07/2025,METALÚRGICA GERDAU ON N1,8.0,Siderurgia e Metalurgia,11.73,Siderurgia,264393.0,8943350000.0,31/03/2025,16562400000.0,993706000.0,8.01,1.12,0.46,19.58,1.37,12.8,0.13,9.5,0.1,4.9,0.45,7.6,3.1,9.0,5.7,1.69,2.64,2.54,0.75,3.7,0.8,85631900000.0,14506400000.0,6887380000.0,7619050000.0,32249100000.0,19459900000.0,68191700000.0,17375300000.0,6507880000.0,1399930000.0,1116820000.0,257764000.0,3.9,,,,,,
349,GOAU4,9.0,PN N1,18/07/2025,METALÚRGICA GERDAU PN N1,7.74,Siderurgia e Metalurgia,11.73,Siderurgia,66484200.0,8943350000.0,31/03/2025,16562400000.0,993706000.0,8.01,1.12,0.46,19.58,1.37,12.8,0.13,9.5,0.1,4.9,0.45,7.6,3.1,9.0,5.7,1.69,2.64,2.54,0.75,3.7,0.8,85631900000.0,14506400000.0,6887380000.0,7619050000.0,32249100000.0,19459900000.0,68191700000.0,17375300000.0,6507880000.0,1399930000.0,1116820000.0,257764000.0,3.9,,,,,,
350,GGBR3,14.65,ON N1,18/07/2025,GERDAU SA ON N1,13.55,Siderurgia e Metalurgia,19.89,Siderurgia,649279.0,29713100000.0,31/03/2025,37349600000.0,2028190000.0,9.08,1.61,0.53,27.62,4.56,12.8,0.44,9.6,0.35,4.8,1.49,7.6,10.47,9.0,5.8,3.81,2.64,5.73,0.26,3.7,0.8,85576200000.0,14506400000.0,6869880000.0,7636550000.0,32193900000.0,56017100000.0,68191700000.0,17375300000.0,6521520000.0,1403680000.0,3272030000.0,749493000.0,4.5,,,,,,
351,PATI4,33.13,PN,17/07/2025,PANATLANTICA PN,21.51,Siderurgia e Metalurgia,40.0,Artefatos de Ferro e Aço,3116.0,792867000.0,31/03/2025,840908000.0,23932000.0,9.12,3.63,1.01,32.85,6.47,12.3,0.36,5.6,0.49,4.0,1.22,7.6,2.19,13.8,11.1,6.11,2.2,6.87,0.59,0.5,1.35,1612920000.0,464820000.0,416779000.0,48041000.0,1189130000.0,786260000.0,2179370000.0,529378000.0,122480000.0,31903000.0,86897000.0,17116000.0,25.0,,,,,,
352,GGBR4,16.11,PN N1,18/07/2025,GERDAU SA PN N1,13.89,Siderurgia e Metalurgia,20.85,Siderurgia,179332000.0,32674200000.0,31/03/2025,40310800000.0,2028190000.0,9.99,1.61,0.58,27.62,5.01,12.8,0.48,9.6,0.38,4.8,1.63,7.6,11.52,9.0,5.8,4.12,2.64,6.18,0.26,3.7,0.8,85576200000.0,14506400000.0,6869880000.0,7636550000.0,32193900000.0,56017100000.0,68191700000.0,17375300000.0,6521520000.0,1403680000.0,3272030000.0,749493000.0,4.1,,,,,,
353,PATI3,40.44,ON,10/07/2025,PANATLANTICA ON,19.81,Siderurgia e Metalurgia,40.44,Artefatos de Ferro e Aço,5130.0,967810000.0,31/03/2025,1015850000.0,23932000.0,11.14,3.63,1.23,32.85,7.9,12.3,0.44,5.6,0.6,4.0,1.49,7.6,2.67,13.8,11.1,7.38,2.2,8.29,0.59,0.5,1.35,1612920000.0,464820000.0,416779000.0,48041000.0,1189130000.0,786260000.0,2179370000.0,529378000.0,122480000.0,31903000.0,86897000.0,17116000.0,17.8,,,,,,
354,FESA3,12.2,ON,18/07/2025,FERBASA ON,10.98,Siderurgia e Metalurgia,14.14,Siderurgia,2842.0,4308730000.0,31/03/2025,3822240000.0,353175000.0,13.87,0.88,1.28,9.52,20.8,19.7,1.89,9.1,0.99,13.6,3.81,4.8,6.13,6.2,9.2,8.03,3.09,18.45,0.1,3.2,0.53,4334560000.0,352231000.0,838723000.0,-486492000.0,1671970000.0,3363440000.0,2277060000.0,549849000.0,207146000.0,20754000.0,310542000.0,24183000.0,3.7,,,,,,
355,USIM5,3.92,PNA N1,18/07/2025,USIMINAS PNA N1,3.92,Siderurgia e Metalurgia,8.56,Siderurgia,63583300.0,4912070000.0,31/03/2025,6163770000.0,1253080000.0,34.95,0.11,0.2,19.29,5.24,7.7,0.19,3.5,0.12,1.1,0.35,2.3,1.07,3.0,0.6,2.84,4.26,6.57,0.32,3.8,0.65,40744300000.0,7808080000.0,6556380000.0,1251700000.0,18339700000.0,24175800000.0,26504700000.0,6857740000.0,938241000.0,471178000.0,140526000.0,300853000.0,,,,,,,
356,USIM3,4.02,ON N1,18/07/2025,USIMINAS ON N1,4.0,Siderurgia e Metalurgia,8.01,Siderurgia,2007350.0,5037380000.0,31/03/2025,6289080000.0,1253080000.0,35.85,0.11,0.21,19.29,5.37,7.7,0.19,3.5,0.12,1.1,0.36,2.3,1.09,3.0,0.6,2.89,4.26,6.7,0.32,3.8,0.65,40744300000.0,7808080000.0,6556380000.0,1251700000.0,18339700000.0,24175800000.0,26504700000.0,6857740000.0,938241000.0,471178000.0,140526000.0,300853000.0,,,,,,,
357,USIM6,8.0,PNB N1,25/06/2025,USIMINAS PNB N1,8.0,Siderurgia e Metalurgia,13.74,Siderurgia,146.0,10024600000.0,31/03/2025,11276300000.0,1253080000.0,71.34,0.11,0.41,19.29,10.68,7.7,0.38,3.5,0.25,1.1,0.71,2.3,2.17,3.0,0.6,5.19,4.26,12.02,0.32,3.8,0.65,40744300000.0,7808080000.0,6556380000.0,1251700000.0,18339700000.0,24175800000.0,26504700000.0,6857740000.0,938241000.0,471178000.0,140526000.0,300853000.0,,,,,,,
358,DOHL3,6.51,ON,03/06/2025,DOHLER ON,5.51,Tecidos. Vestuário e Calçados,9.99,Fios e Tecidos,58.0,492449000.0,31/03/2025,568156000.0,75645000.0,-117.73,-0.06,0.71,9.17,-15.12,20.2,0.77,-5.1,0.49,-0.7,1.03,-3.3,1.83,-3.7,-0.6,-51.74,6.0,-17.44,0.22,0.7,0.64,995039000.0,153725000.0,78018000.0,75707000.0,571214000.0,693418000.0,639846000.0,149808000.0,-32577000.0,-8636000.0,-4183000.0,1247000.0,0.2,,,,,,
359,DOHL4,4.25,PN,18/07/2025,DOHLER PN,3.69,Tecidos. Vestuário e Calçados,4.39,Fios e Tecidos,4553.0,321491000.0,31/03/2025,397198000.0,75645000.0,-76.86,-0.06,0.46,9.17,-9.87,20.2,0.5,-5.1,0.32,-0.7,0.68,-3.3,1.19,-3.7,-0.6,-36.17,6.0,-12.19,0.22,0.7,0.64,995039000.0,153725000.0,78018000.0,75707000.0,571214000.0,693418000.0,639846000.0,149808000.0,-32577000.0,-8636000.0,-4183000.0,1247000.0,0.3,,,,,,
360,TXRX3,9.98,ON,20/06/2025,RENAUX ON,8.5,Tecidos. Vestuário e Calçados,10.0,Fios e Tecidos,119.0,42504800.0,31/03/2025,365591000.0,4259000.0,-0.97,-10.29,-0.12,-84.66,-8.68,19.8,0.36,-4.2,0.25,-37.2,-0.25,-2.9,-0.09,-3.1,12.2,-1349.04,0.27,-74.67,-0.9,-0.5,0.7,168794000.0,323249000.0,163000.0,323086000.0,62948000.0,-360582000.0,117671000.0,25996000.0,-4896000.0,-2966000.0,-43812000.0,-18675000.0,,,,,,,
361,TXRX4,1.58,PN,17/07/2025,RENAUX PN,1.5,Tecidos. Vestuário e Calçados,2.49,Fios e Tecidos,475.0,6729220.0,31/03/2025,329815000.0,4259000.0,-0.15,-10.29,-0.02,-84.66,-1.37,19.8,0.06,-4.2,0.04,-37.2,-0.04,-2.9,-0.01,-3.1,12.2,-1217.03,0.27,-67.36,-0.9,-0.5,0.7,168794000.0,323249000.0,163000.0,323086000.0,62948000.0,-360582000.0,117671000.0,25996000.0,-4896000.0,-2966000.0,-43812000.0,-18675000.0,,,,,,,
362,CTSA3,2.62,ON,18/07/2025,SANTANENSE ON,2.21,Tecidos. Vestuário e Calçados,12.36,Fios e Tecidos,1543.0,18224700.0,30/06/2024,228447000.0,6956000.0,-0.15,-17.62,0.14,18.79,-0.27,-38.1,0.19,-69.2,0.03,-124.6,-0.09,-11.6,-0.05,-13.2,-93.7,-3.96,0.3,-3.36,1.66,-34.4,0.17,587596000.0,217309000.0,7087000.0,210222000.0,90850000.0,130725000.0,98346000.0,3943000.0,-68077000.0,-22385000.0,-122538000.0,-47416000.0,,,,,,,
363,CTSA4,2.6,PN,18/07/2025,SANTANENSE PN,2.02,Tecidos. Vestuário e Calçados,7.0,Fios e Tecidos,4558.0,18085600.0,30/06/2024,228308000.0,6956000.0,-0.15,-17.62,0.14,18.79,-0.27,-38.1,0.18,-69.2,0.03,-124.6,-0.09,-11.6,-0.05,-13.2,-93.7,-3.95,0.3,-3.35,1.66,-34.4,0.17,587596000.0,217309000.0,7087000.0,210222000.0,90850000.0,130725000.0,98346000.0,3943000.0,-68077000.0,-22385000.0,-122538000.0,-47416000.0,,,,,,,
