Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield
AGXY3,5.73,ON NM,29/08/2025,AGROGALAXY ON NM,5.67,Agropecuária,18.45,Agricultura,100350.0,97235600.0,31/03/2025,1350190000.0,16969600.0,-0.03,-172.09,-0.05,-118.43,-0.06,-4.2,0.03,-48.8,0.03,-87.7,-0.03,-47.0,-0.03,-203.5,145.3,-0.91,0.33,-0.82,-0.75,-1.5,0.96,3488820000.0,1504660000.0,251712000.0,1252950000.0,1723010000.0,-2009680000.0,3357200000.0,341203000.0,-1639440000.0,-138318000.0,-2920320000.0,-199813000.0,
AGRO3,21.27,ON NM,29/08/2025,BRASILAGRO ON NM,19.8,Agropecuária,25.14,Agricultura,2767440.0,2184080000.0,31/03/2025,3441820000.0,102683000.0,7.05,3.01,1.01,21.13,5.38,39.4,1.61,30.0,0.55,22.8,4.72,10.2,-3.98,11.1,14.3,7.08,1.58,8.48,0.62,-0.5,0.34,3971670000.0,1338960000.0,81221000.0,1257740000.0,1253480000.0,2169900000.0,1355180000.0,224934000.0,406007000.0,25748000.0,309590000.0,-1093000.0,7.3
TTEN3,14.63,ON NM,29/08/2025,3TENTOS ON NM,10.07,Agropecuária,16.9,Agricultura,15911100.0,7307650000.0,30/06/2025,9525200000.0,499498000.0,7.47,1.96,1.63,8.98,6.57,17.7,0.51,7.7,0.63,6.8,2.47,9.6,12.6,15.3,21.8,7.81,1.63,8.56,0.91,33.8,1.24,11584400000.0,4064340000.0,1846790000.0,2217550000.0,7670250000.0,4484860000.0,14412100000.0,3562880000.0,1112490000.0,309358000.0,978809000.0,331555000.0,1.3
SLCE3,17.5,ON NM,29/08/2025,SLC Agricola ON NM,16.28,Agropecuária,20.25,Agricultura,38474400.0,7758270000.0,30/06/2025,13590700000.0,443330000.0,13.18,1.33,1.5,11.68,4.56,29.2,0.88,19.3,0.44,6.6,2.38,9.7,-1.67,10.8,11.4,6.6,1.73,8.0,1.35,9.8,0.5,17610700000.0,6982050000.0,1149610000.0,5832430000.0,7720450000.0,5179100000.0,8786440000.0,2254860000.0,1699670000.0,474092000.0,588584000.0,161688000.0,3.1
SOJA3,10.38,ON NM,29/08/2025,BOA SAFRA ON NM,9.56,Agropecuária,13.16,Agricultura,4227990.0,1404640000.0,30/06/2025,1692900000.0,135322000.0,13.87,0.75,1.04,10.0,9.01,13.4,0.72,8.0,0.39,8.9,0.81,4.3,1.55,5.8,7.5,7.96,3.21,10.86,0.63,33.5,0.54,3586820000.0,853164000.0,564911000.0,288253000.0,2521790000.0,1353140000.0,1940720000.0,125124000.0,155856000.0,18263000.0,101279000.0,5628000.0,2.9
LAND3,10.08,ON NM,29/08/2025,TERRASANTAPA ON NM,9.72,Agropecuária,15.85,Agricultura,200866.0,969968000.0,30/06/2025,996926000.0,96227000.0,59.45,0.17,1.32,7.61,18.65,94.7,11.27,60.4,1.05,19.0,-40.4,5.6,-6.13,5.7,2.2,18.07,0.57,19.16,0.06,-9.4,0.09,922242000.0,43563000.0,16605000.0,26958000.0,32057000.0,732067000.0,86082000.0,29897000.0,52022000.0,23061000.0,16316000.0,5006000.0,0.7
AMBP3,13.35,ON NM,29/08/2025,AMBIPAR ON NM,6.3,Água e Saneamento,26.85,Água e Saneamento,8946810.0,22300100000.0,30/06/2025,28656500000.0,1670420000.0,-86.9,-0.15,20.4,0.65,19.78,18.2,3.08,15.6,1.32,-2.6,4.81,6.7,-3.0,9.6,-23.5,14.39,2.72,25.42,10.1,56.8,0.43,16918400000.0,11041300000.0,4684890000.0,6356410000.0,7328510000.0,1093330000.0,7243010000.0,1770720000.0,1127250000.0,260980000.0,-256625000.0,-171760000.0,
SAPR4,6.7,PN,29/08/2025,SANEPAR PN,4.87,Água e Saneamento,7.42,Água e Saneamento,7627820.0,10125100000.0,30/06/2025,15426800000.0,1511210000.0,4.48,1.5,0.86,7.8,5.19,56.6,1.45,27.9,0.41,32.3,19.55,7.8,-1.0,8.4,19.2,6.06,1.21,7.91,0.57,9.5,0.28,24914500000.0,6698070000.0,1396320000.0,5301750000.0,2970920000.0,11784300000.0,6996560000.0,1705370000.0,1949230000.0,567981000.0,2262240000.0,263848000.0,6.7
SAPR11,34.49,UNT N2,29/08/2025,SANEPAR UNT N2,24.38,Água e Saneamento,37.82,Água e Saneamento,44434500.0,10424300000.0,30/06/2025,15726000000.0,1511210000.0,4.61,7.48,0.88,38.99,5.35,56.6,1.49,27.9,0.42,32.3,20.13,7.8,-1.03,8.4,19.2,6.18,1.21,8.07,0.57,9.5,0.28,24914500000.0,6698070000.0,1396320000.0,5301750000.0,2970920000.0,11784300000.0,6996560000.0,1705370000.0,1949230000.0,567981000.0,2262240000.0,263848000.0,6.4
SAPR3,7.52,ON,29/08/2025,SANEPAR ON,4.71,Água e Saneamento,7.99,Água e Saneamento,1588750.0,11364300000.0,30/06/2025,16666000000.0,1511210000.0,5.02,1.5,0.96,7.8,5.83,56.6,1.62,27.9,0.46,32.3,21.94,7.8,-1.12,8.4,19.2,6.55,1.21,8.55,0.57,9.5,0.28,24914500000.0,6698070000.0,1396320000.0,5301750000.0,2970920000.0,11784300000.0,6996560000.0,1705370000.0,1949230000.0,567981000.0,2262240000.0,263848000.0,5.4
