Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield
SBSP3,122.49,ON NM,29/08/2025,SABESP ON NM,84.12,Água e Saneamento,122.74,Água e Saneamento,314209000.0,83723100000.0,30/06/2025,107081000000.0,683510000.0,7.5,16.33,2.07,59.17,4.64,53.1,2.08,44.8,0.94,27.8,30.2,20.3,-2.39,22.7,27.6,5.28,1.26,5.94,0.77,20.0,0.45,88719900000.0,31283500000.0,7925590000.0,23358000000.0,13234400000.0,40444100000.0,40226500000.0,8964530000.0,18025700000.0,3303650000.0,11164900000.0,2135960000.0,3.0
CSMG3,29.89,ON,29/08/2025,COPASA MG ON,19.22,Água e Saneamento,29.89,Água e Saneamento,80937200.0,11365800000.0,30/06/2025,17152600000.0,380253000.0,8.37,3.57,1.35,22.15,5.19,42.6,1.4,27.0,0.69,16.8,11.63,13.2,-2.08,14.4,16.1,5.61,1.57,7.84,0.81,10.2,0.49,16581900000.0,6819840000.0,1032960000.0,5786880000.0,2683800000.0,8421330000.0,8093780000.0,1979820000.0,2188010000.0,496891000.0,1358150000.0,289441000.0,5.6
ORVR3,54.95,ON NM,29/08/2025,ORIZON ON NM,36.22,Água e Saneamento,55.27,Água e Saneamento,23942700.0,5282170000.0,30/06/2025,6251630000.0,96126900.0,119.85,0.46,3.77,14.59,19.73,45.5,5.37,27.2,1.31,5.7,6.7,6.6,-4.5,9.1,3.1,13.96,2.36,23.36,1.36,26.8,0.24,4045500000.0,1902230000.0,932773000.0,969454000.0,1366940000.0,1402850000.0,984261000.0,264181000.0,267660000.0,78803000.0,44072000.0,23846000.0,
JALL3,2.97,ON NM,29/08/2025,JALLESMACHAD ON NM,2.74,Alimentos Processados,6.74,Açucar e Alcool,2808760.0,901519000.0,30/06/2025,4339300000.0,303542000.0,-13.35,-0.22,0.45,6.55,75.48,14.9,0.37,0.5,0.12,-2.8,0.57,0.2,-0.32,0.2,-3.4,3.78,2.53,363.3,2.49,16.5,0.33,7446000000.0,4944250000.0,1506470000.0,3437780000.0,2616610000.0,1989210000.0,2441740000.0,505096000.0,11944000.0,-194014000.0,-67535000.0,-13963000.0,
BEEF3,6.03,ON NM,29/08/2025,Minerva ON NM,3.47,Alimentos Processados,6.41,Carnes e Derivados,76800600.0,5997040000.0,30/06/2025,20161900000.0,994534000.0,-7.08,-0.85,4.2,1.44,1.95,19.0,0.14,6.9,0.13,-1.9,0.86,6.9,-0.4,13.4,-59.3,5.13,1.34,6.55,18.71,13.1,1.0,44477400000.0,26712900000.0,12548000000.0,14164900000.0,27410000000.0,1427620000.0,44329700000.0,13917900000.0,3076890000.0,1037480000.0,-847105000.0,442741000.0,
FICT3,3.24,ON,29/08/2025,FICTORALIMEN ON,0.63,Alimentos Processados,4.57,Carnes e Derivados,48807.0,77128200.0,30/06/2025,81495200.0,23805000.0,-3.23,-1.0,-7.86,-0.41,-11.39,94.1,-3.92,34.4,14.88,121.3,-66.78,-130.6,-5.43,-149.4,243.6,-11.16,0.41,-12.04,-0.45,-10.9,-3.8,5185000.0,4375000.0,8000.0,4367000.0,798000.0,-9810000.0,-19699000.0,,-6771000.0,-706000.0,-23894000.0,-707000.0,
MNPR3,32.9,ON,29/08/2025,MINUPAR ON,16.01,Alimentos Processados,33.16,Carnes e Derivados,78754.0,233590000.0,30/06/2025,131284000.0,7100000.0,0.45,72.99,1.22,26.96,3.02,29.5,0.57,18.8,0.55,126.4,1.58,18.0,-16.69,25.3,270.7,1.51,2.98,1.7,-,7.2,0.96,428604000.0,,102306000.0,-102306000.0,222959000.0,191451000.0,410286000.0,116568000.0,77315000.0,18777000.0,518256000.0,491952000.0,
MRFG3,24.93,ON NM,29/08/2025,Marfrig ON NM,10.88,Alimentos Processados,25.85,Carnes e Derivados,139148000.0,21388100000.0,30/06/2025,64451400000.0,857928000.0,7.56,3.3,7.55,3.3,3.43,12.8,0.13,3.9,0.16,2.4,2.2,4.5,-0.33,6.7,99.9,4.73,1.22,10.35,23.3,20.0,1.16,137817000000.0,66040000000.0,22976800000.0,43063200000.0,53153900000.0,2834440000.0,159308000000.0,38692000000.0,6228990000.0,1225940000.0,2830550000.0,85223000.0,12.0
CAML3,4.86,ON NM,29/08/2025,CAMIL ON NM,3.41,Alimentos Processados,9.42,Alimentos Diversos,5796870.0,1701000000.0,31/05/2025,5583380000.0,350000000.0,8.32,0.58,0.49,9.97,3.02,19.7,0.14,4.7,0.14,1.7,0.8,4.6,-1.16,6.8,5.9,6.71,1.42,9.91,1.58,11.1,0.99,12142400000.0,5506720000.0,1624330000.0,3882380000.0,7187780000.0,3488880000.0,12050600000.0,2687330000.0,563432000.0,162975000.0,204459000.0,66002000.0,6.0
BRFS3,20.63,ON NM,29/08/2025,BRF Foods ON NM,17.93,Alimentos Processados,28.59,Carnes e Derivados,172888000.0,34709400000.0,30/06/2025,40361000000.0,1682470000.0,9.68,2.13,2.06,10.01,4.69,26.3,0.54,11.6,0.54,6.1,3.1,11.5,-2.6,22.0,21.3,3.69,1.52,5.46,1.23,9.0,0.99,64292600000.0,20745500000.0,15094000000.0,5651530000.0,32864000000.0,16846400000.0,63948600000.0,15364600000.0,7396920000.0,1696920000.0,3585590000.0,740621000.0,3.4
SMTO3,18.2,ON NM,29/08/2025,SAO MARTINHO ON NM,16.29,Alimentos Processados,27.26,Açucar e Alcool,34649700.0,6050320000.0,30/06/2025,13584200000.0,332435000.0,11.79,1.54,0.87,20.86,5.54,23.1,0.82,14.8,0.28,7.0,1.53,5.0,-0.72,5.9,7.4,3.75,2.5,12.43,1.49,11.8,0.34,21912200000.0,10324100000.0,2790210000.0,7533890000.0,6596560000.0,6934320000.0,7375490000.0,1857160000.0,1092730000.0,268072000.0,513240000.0,62829000.0,5.0
BAUH4,86.97,PN,22/08/2025,EXCELSIOR PN,76.77,Alimentos Processados,87.5,Carnes e Derivados,44839.0,454157000.0,30/06/2025,395441000.0,5222000.0,16.1,5.4,3.34,26.02,21.19,25.1,1.72,8.1,2.33,10.7,8.92,11.0,9.51,22.4,20.8,14.77,1.92,18.45,-,9.8,1.36,194595000.0,,58716000.0,-58716000.0,106473000.0,135885000.0,263834000.0,67427000.0,21437000.0,5682000.0,28206000.0,5460000.0,1.4
MDIA3,29.67,ON NM,29/08/2025,MDIASBRANCO ON NM,18.89,Alimentos Processados,29.71,Alimentos Diversos,18813200.0,10058100000.0,30/06/2025,9775240000.0,339000000.0,17.14,1.73,1.24,24.01,11.23,32.8,1.02,9.1,0.79,6.0,2.98,7.1,7.47,9.6,7.2,7.59,2.33,10.91,0.23,8.2,0.77,12704200000.0,1871540000.0,2154430000.0,-282887000.0,5910530000.0,8140170000.0,9824750000.0,2723400000.0,896029000.0,294207000.0,586880000.0,216382000.0,2.1
JOPA3,20.51,ON,28/08/2025,JOSAPAR S/A ON,19.55,Alimentos Processados,22.37,Alimentos Diversos,94.0,217037000.0,30/06/2025,741329000.0,10582000.0,30.69,0.67,0.36,57.01,3.11,20.6,0.1,3.4,0.1,0.6,0.3,3.1,1.64,4.6,1.2,8.92,1.83,10.63,2.02,3.7,0.92,2254480000.0,1217130000.0,692841000.0,524292000.0,1621490000.0,603273000.0,2070120000.0,430831000.0,69747000.0,20420000.0,7072000.0,1061000.0,3.1
HAPV3,41.71,ON NM,29/08/2025,HAPVIDA ON NM,30.45,ServMédHospit Análises e Diagnósticos,69.9,ServMédHospit Análises e Diagnósticos,165582000.0,20964700000.0,30/06/2025,24497800000.0,502631000.0,-43.8,-0.95,0.43,96.64,16.45,13.9,0.71,4.3,0.28,-1.6,3.34,1.7,-1.55,2.0,-1.0,10.59,2.05,19.22,0.27,30.2,0.4,74351400000.0,13074800000.0,9541790000.0,3533030000.0,12259900000.0,48574100000.0,29488200000.0,862763000.0,1274380000.0,78789000.0,-478595000.0,-331491000.0,
AALR3,6.32,ON NM,29/08/2025,ALLIAR ON NM,3.92,ServMédHospit Análises e Diagnósticos,16.17,ServMédHospit Análises e Diagnósticos,502328.0,962909000.0,30/06/2025,1284960000.0,152359000.0,-11.13,-0.57,0.91,6.95,8.76,27.7,0.78,8.9,0.33,-6.2,33.88,3.8,-0.92,4.2,-8.2,5.91,1.04,11.69,0.41,2.6,0.43,2878610000.0,438469000.0,116421000.0,322048000.0,742340000.0,1059070000.0,1229180000.0,303567000.0,109937000.0,29260000.0,-86536000.0,-15900000.0,
ONCO3,2.7,ON NM,29/08/2025,ONCOCLINICAS ON NM,1.77,ServMédHospit Análises e Diagnósticos,6.66,ServMédHospit Análises e Diagnósticos,9856030.0,1785820000.0,30/06/2025,6131360000.0,661415000.0,-1.89,-1.43,0.63,4.31,4.22,30.9,0.29,6.9,0.17,-16.7,1.85,4.1,-0.47,5.0,-33.2,8.1,1.4,14.48,1.86,24.1,0.6,10301300000.0,5313550000.0,968011000.0,4345540000.0,3374080000.0,2852590000.0,6158480000.0,1464390000.0,423580000.0,87686000.0,-946570000.0,-140992000.0,
DASA3,1.33,ON,29/08/2025,DIAGNOSTICOS DA AMERICA SA ON,1.2,ServMédHospit Análises e Diagnósticos,3.21,ServMédHospit Análises e Diagnósticos,1283840.0,1669160000.0,30/06/2025,8212100000.0,1255010000.0,-1.38,-0.97,0.22,6.07,1.85,27.7,0.12,6.5,0.08,-8.7,1.13,4.5,-0.23,5.0,-15.9,3.67,1.37,9.11,1.04,10.9,0.69,20220200000.0,7950100000.0,1407160000.0,6542940000.0,5462140000.0,7611980000.0,13930600000.0,2465930000.0,901312000.0,148190000.0,-1211270000.0,-178585000.0,
MATD3,4.5,ON NM,29/08/2025,MATER DEI ON NM,3.42,ServMédHospit Análises e Diagnósticos,4.95,ServMédHospit Análises e Diagnósticos,1132940.0,1527430000.0,30/06/2025,2277200000.0,339428000.0,11.77,0.38,1.05,4.28,4.68,29.1,0.73,15.5,0.35,6.5,1.51,7.5,-1.12,9.1,8.9,5.23,3.09,6.97,0.96,16.5,0.48,4338670000.0,1387990000.0,638213000.0,749777000.0,1499520000.0,1451790000.0,2102980000.0,545807000.0,326621000.0,96569000.0,129810000.0,26235000.0,1.7
ODPV3,13.16,ON NM,29/08/2025,ODONTOPREV ON NM,9.44,ServMédHospit Análises e Diagnósticos,13.16,ServMédHospit Análises e Diagnósticos,21157800.0,7183060000.0,30/06/2025,6809160000.0,545825000.0,12.39,1.06,5.56,2.37,9.65,37.2,3.06,31.7,3.39,24.7,-36.93,35.2,-22.28,43.9,44.9,8.5,0.72,9.15,-,7.4,1.11,2118060000.0,,373902000.0,-373902000.0,503735000.0,1291700000.0,2347890000.0,603695000.0,744530000.0,190787000.0,579924000.0,147828000.0,7.4
FLRY3,14.89,ON NM,29/08/2025,FLEURY ON NM,10.45,ServMédHospit Análises e Diagnósticos,15.61,ServMédHospit Análises e Diagnósticos,46295800.0,8147670000.0,30/06/2025,11427300000.0,547191000.0,13.44,1.11,1.51,9.83,6.91,26.9,1.04,15.0,0.62,7.4,3.1,9.0,-2.52,11.4,11.3,5.68,2.51,9.7,1.0,23.4,0.6,13072400000.0,5364210000.0,2084610000.0,3279600000.0,4368090000.0,5379100000.0,7841620000.0,2024530000.0,1178380000.0,307605000.0,606212000.0,152299000.0,6.6
RDOR3,39.36,ON NM,29/08/2025,REDE D OR ON NM,24.89,ServMédHospit Análises e Diagnósticos,39.36,ServMédHospit Análises e Diagnósticos,165484000.0,90106600000.0,30/06/2025,87545800000.0,2289290000.0,21.91,1.8,3.55,11.08,10.73,19.8,1.71,15.9,0.85,8.0,2.51,7.9,-3.92,13.2,16.2,8.62,2.89,10.43,1.5,34.5,0.5,105710000000.0,37985700000.0,40546500000.0,-2560790000.0,54856900000.0,25362500000.0,52806000000.0,13960800000.0,8394630000.0,2377790000.0,4112780000.0,1001590000.0,1.9
QUAL3,1.87,ON NM,29/08/2025,QUALICORP ON NM,1.47,ServMédHospit Análises e Diagnósticos,2.63,ServMédHospit Análises e Diagnósticos,2692080.0,531106000.0,30/06/2025,1477000000.0,284014000.0,61.79,0.03,0.4,4.62,0.97,85.3,0.35,36.3,0.14,1.1,-1.71,14.4,-0.42,19.7,0.7,1.66,0.79,2.7,1.05,-8.2,0.4,3801620000.0,1381410000.0,435514000.0,945897000.0,1199770000.0,1312980000.0,1506270000.0,357190000.0,546276000.0,142711000.0,8596000.0,18122000.0,0.3
AMOB3,12.83,ON NM,29/08/2025,AUTOMOB ON NM,10.3,Automóveis e Motocicletas,25.0,Automóveis e Motocicletas,863529.0,486077000.0,30/06/2025,3240500000.0,37886000.0,-4.17,-3.08,0.22,59.15,1.29,14.2,0.03,2.2,0.06,-0.7,0.26,4.4,-0.31,5.8,-5.2,4.89,1.63,8.61,1.35,-,1.95,8630070000.0,3028050000.0,273628000.0,2754420000.0,4835200000.0,2241000000.0,16828300000.0,2996130000.0,376151000.0,60850000.0,-116592000.0,-28223000.0,
PLAS3,4.5,ON,29/08/2025,PLASCAR PARTICIPAÇÕES INDUSTRIAIS SA ON,4.33,Automóveis e Motocicletas,7.4,Automóveis e Motocicletas,864.0,55912500.0,30/06/2025,320216000.0,12425000.0,-0.34,-13.29,-0.09,-50.46,-2.36,12.0,0.05,-2.1,0.09,-14.3,-0.15,-3.8,-0.05,-4.8,26.3,8.85,0.33,-13.49,-0.45,21.4,1.85,622657000.0,279884000.0,15581000.0,264303000.0,192008000.0,-626989000.0,1151740000.0,287505000.0,-23741000.0,-10542000.0,-165168000.0,-49830000.0,
LEVE3,27.98,ON,29/08/2025,MAHLE METAL LEVE ON,24.55,Automóveis e Motocicletas,32.77,Automóveis e Motocicletas,6781590.0,3792380000.0,30/06/2025,4973450000.0,135539000.0,7.05,3.97,5.13,5.45,4.54,27.0,0.74,16.3,1.02,10.5,6.6,22.4,-5.45,31.4,72.8,5.21,1.33,5.96,1.88,11.2,1.37,3732400000.0,1389950000.0,208873000.0,1181070000.0,2295130000.0,739079000.0,5104230000.0,1369160000.0,834511000.0,223082000.0,537776000.0,126743000.0,9.4
MYPK3,14.05,ON,29/08/2025,IOCHPE-MAXION ON,9.78,Automóveis e Motocicletas,14.59,Automóveis e Motocicletas,11474500.0,2159770000.0,30/06/2025,6076490000.0,153720000.0,7.85,1.79,0.5,28.09,2.08,12.2,0.14,6.5,0.14,2.3,0.77,7.0,-0.67,9.6,6.4,3.83,1.68,5.84,1.3,5.5,1.07,14920100000.0,5595420000.0,1678690000.0,3916730000.0,6926160000.0,4317770000.0,15936500000.0,4106970000.0,1040060000.0,290597000.0,275251000.0,86822000.0,4.2
ABEV3,12.35,ON,29/08/2025,AMBEV S/A ON,10.52,Bebidas,14.29,Cervejas e Refrigerantes,369332000.0,194656000000.0,30/06/2025,180289000000.0,15761600000.0,13.2,0.94,2.11,5.87,9.47,51.5,2.12,22.4,1.37,16.6,49.66,14.5,-23.87,19.4,16.0,6.59,1.11,8.78,0.03,7.1,0.65,142158000000.0,3157760000.0,17524600000.0,-14366800000.0,40792000000.0,92471600000.0,91719700000.0,20090200000.0,20544900000.0,3864470000.0,14752300000.0,2717720000.0,8.5
PETZ3,4.02,ON NM,29/08/2025,PETZ ON NM,3.65,Comércio,5.5,Produtos Diversos,28871500.0,1860210000.0,30/06/2025,1914310000.0,462740000.0,-115.03,-0.03,1.11,3.64,9.45,47.0,0.54,5.7,0.49,-0.5,3.22,5.2,-2.47,6.4,-1.0,3.47,1.72,9.73,0.25,17.3,0.91,3812140000.0,428010000.0,373912000.0,54098000.0,1377090000.0,1682180000.0,3453990000.0,887332000.0,196837000.0,57719000.0,-16171000.0,21290000.0,7.2
AMAR3,1.19,ON NM,29/08/2025,LOJAS MARISA ON NM,0.89,Comércio,1.63,Tecidos. Vestuário e Calçados,246813.0,611013000.0,30/06/2025,1273630000.0,513456000.0,-10.02,-0.12,2.11,0.56,3.76,51.3,0.4,10.8,0.3,-4.0,-1.45,8.0,-0.51,9.7,-21.1,3.84,0.56,7.84,2.33,-16.3,0.75,2018170000.0,672865000.0,10248000.0,662617000.0,526997000.0,289343000.0,1510510000.0,394481000.0,162410000.0,62437000.0,-60972000.0,2106000.0,
LJQQ3,2.57,ON NM,29/08/2025,QUERO-QUERO ON NM,1.88,Comércio,4.17,Produtos Diversos,4406870.0,501338000.0,30/06/2025,373346000.0,195073000.0,-6.73,-0.38,1.02,2.51,166.12,33.3,0.2,0.1,0.13,-2.9,0.47,0.1,-0.93,0.1,-15.2,2.68,1.65,123.71,1.01,7.7,0.68,3738110000.0,496800000.0,624792000.0,-127992000.0,2711460000.0,489790000.0,2560000000.0,448762000.0,3017980.0,-61369000.0,-74534000.0,-46011000.0,4.7
BHIA3,4.3,ON,29/08/2025,CASAS BAHIA ON,2.65,Comércio,10.32,Eletrodomésticos,16773700.0,2811680000.0,30/06/2025,11355700000.0,653878000.0,-1.58,-2.73,1.83,2.35,1.42,30.7,0.1,7.0,0.08,-6.3,-0.5,5.9,-0.16,8.2,-115.9,3.76,0.71,5.73,6.78,-4.1,0.84,33525000000.0,10427000000.0,1883000000.0,8544000000.0,14020000000.0,1539000000.0,28238000000.0,6867000000.0,1983000000.0,501000000.0,-1784000000.0,-555000000.0,
AMER3,6.58,ON,29/08/2025,AMERICANAS ON,3.13,Comércio,9.52,Produtos Diversos,9857400.0,1317610000.0,30/06/2025,2425610000.0,200245000.0,0.14,45.44,0.3,21.85,-1.03,29.5,0.09,-8.9,0.08,63.2,0.63,-7.9,-0.24,-9.5,207.9,-7.93,1.49,-1.89,0.43,-5.0,0.89,16175000000.0,1883000000.0,775000000.0,1108000000.0,6356000000.0,4376000000.0,14401000000.0,3843000000.0,-1281000000.0,-190000000.0,9099000000.0,-98000000.0,
CGRA4,27.5,PN,29/08/2025,GRAZZIOTIN PN,21.63,Comércio,29.11,Tecidos. Vestuário e Calçados,265718.0,566104000.0,30/06/2025,397352000.0,20585600.0,4.8,5.72,0.6,46.11,6.34,52.4,0.76,11.9,0.43,15.8,1.55,6.8,2.57,8.6,12.4,3.4,2.75,4.45,-,6.9,0.57,1304540000.0,,168752000.0,-168752000.0,575911000.0,949228000.0,746685000.0,224797000.0,89222000.0,42755000.0,117834000.0,40075000.0,11.7
CGRA3,28.4,ON,29/08/2025,GRAZZIOTIN ON,21.98,Comércio,29.5,Tecidos. Vestuário e Calçados,32999.0,584631000.0,30/06/2025,415879000.0,20585600.0,4.96,5.72,0.62,46.11,6.55,52.4,0.78,11.9,0.45,15.8,1.6,6.8,2.65,8.6,12.4,3.56,2.75,4.66,-,6.9,0.57,1304540000.0,,168752000.0,-168752000.0,575911000.0,949228000.0,746685000.0,224797000.0,89222000.0,42755000.0,117834000.0,40075000.0,11.4
WLMM4,21.01,PN,29/08/2025,WLM PN,20.39,Comércio,34.54,Material de Transporte,38488.0,765072000.0,30/06/2025,1121400000.0,36414700.0,6.73,3.12,0.95,22.11,4.73,12.9,0.26,5.4,0.51,3.8,1.85,10.8,4.27,12.4,14.1,6.66,1.91,6.93,0.56,21.5,1.99,1492460000.0,449153000.0,92822000.0,356331000.0,866120000.0,805027000.0,2967530000.0,759013000.0,161726000.0,34882000.0,113605000.0,31183000.0,6.6
ALLD3,8.03,ON NM,29/08/2025,ALLIED ON NM,5.95,Comércio,8.52,Eletrodomésticos,905978.0,760722000.0,30/06/2025,974095000.0,94735000.0,6.82,1.18,0.51,15.82,6.36,11.6,0.14,2.2,0.23,2.1,0.73,3.6,1.35,6.0,7.4,5.69,1.76,8.14,0.3,-1.3,1.61,3335840000.0,450403000.0,237030000.0,213373000.0,2399400000.0,1499160000.0,5381580000.0,1392920000.0,119644000.0,40465000.0,111536000.0,15857000.0,25.2
SBFG3,11.37,ON,29/08/2025,GRUPO SBF ON,9.26,Comércio,17.59,Produtos Diversos,21643300.0,2780590000.0,30/06/2025,4957230000.0,244555000.0,7.26,1.57,0.96,11.9,4.84,49.1,0.38,7.8,0.33,5.2,2.78,6.8,-2.08,8.4,13.2,4.87,1.31,8.64,0.9,17.3,0.87,8435540000.0,2605680000.0,429032000.0,2176640000.0,4189090000.0,2910560000.0,7314620000.0,1817700000.0,574081000.0,106712000.0,383157000.0,46411000.0,4.8
WLMM3,23.8,ON,22/08/2025,WLM ON,23.8,Comércio,27.53,Material de Transporte,771.0,866669000.0,30/06/2025,1223000000.0,36414700.0,7.63,3.12,1.08,22.11,5.36,12.9,0.29,5.4,0.58,3.8,2.1,10.8,4.84,12.4,14.1,7.27,1.91,7.56,0.56,21.5,1.99,1492460000.0,449153000.0,92822000.0,356331000.0,866120000.0,805027000.0,2967530000.0,759013000.0,161726000.0,34882000.0,113605000.0,31183000.0,5.3
AZZA3,34.71,ON,29/08/2025,AZZAS 2154 ON,21.5,Comércio,48.29,Tecidos. Vestuário e Calçados,77022500.0,7167270000.0,30/06/2025,9377470000.0,206490000.0,9.02,3.85,0.86,40.39,7.64,54.7,0.62,8.1,0.46,6.9,2.76,6.0,-23.02,7.1,9.5,5.98,1.61,9.99,0.36,45.3,0.74,15516800000.0,3033360000.0,823162000.0,2210200000.0,6865970000.0,8339550000.0,11548400000.0,2901380000.0,938632000.0,352401000.0,794689000.0,537654000.0,1.7
