Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield
SBSP3,130.1,ON NM,22/10/2025,SABESP ON NM,84.12,Água e Saneamento,132.18,Água e Saneamento,371924000.0,88924700000.0,30/06/2025,112283000000.0,683510000.0,7.96,16.33,2.2,59.17,4.93,53.1,2.21,44.8,1.0,27.8,32.08,20.3,-2.54,22.7,27.6,5.54,1.26,6.23,0.77,20.0,0.45,88719900000.0,31283500000.0,7925590000.0,23358000000.0,13234400000.0,40444100000.0,40226500000.0,8964530000.0,18025700000.0,3303650000.0,11164900000.0,2135960000.0,2.9
CSMG3,36.2,ON,22/10/2025,COPASA MG ON,19.0,Água e Saneamento,36.2,Água e Saneamento,89522400.0,13765200000.0,30/06/2025,19552000000.0,380253000.0,10.14,3.57,1.63,22.15,6.29,42.6,1.7,27.0,0.83,16.8,14.08,13.2,-2.51,14.4,16.1,6.4,1.57,8.94,0.81,10.2,0.49,16581900000.0,6819840000.0,1032960000.0,5786880000.0,2683800000.0,8421330000.0,8093780000.0,1979820000.0,2188010000.0,496891000.0,1358150000.0,289441000.0,4.9
ORVR3,54.84,ON NM,22/10/2025,ORIZON ON NM,36.22,Água e Saneamento,57.86,Água e Saneamento,23485900.0,5271600000.0,30/06/2025,6241050000.0,96126900.0,119.61,0.46,3.76,14.59,19.7,45.5,5.36,27.2,1.3,5.7,6.69,6.6,-4.49,9.1,3.1,13.94,2.36,23.32,1.36,26.8,0.24,4045500000.0,1902230000.0,932773000.0,969454000.0,1366940000.0,1402850000.0,984261000.0,264181000.0,267660000.0,78803000.0,44072000.0,23846000.0,
JALL3,2.61,ON NM,22/10/2025,JALLESMACHAD ON NM,2.55,Alimentos Processados,6.19,Açucar e Alcool,3211020.0,792244000.0,30/06/2025,4230020000.0,303542000.0,-11.73,-0.22,0.4,6.55,66.33,14.9,0.32,0.5,0.11,-2.8,0.5,0.2,-0.28,0.2,-3.4,3.69,2.53,354.15,2.49,16.5,0.33,7446000000.0,4944250000.0,1506470000.0,3437780000.0,2616610000.0,1989210000.0,2441740000.0,505096000.0,11944000.0,-194014000.0,-67535000.0,-13963000.0,
BEEF3,6.89,ON NM,22/10/2025,Minerva ON NM,3.47,Alimentos Processados,6.89,Carnes e Derivados,63528100.0,6890450000.0,30/06/2025,21055400000.0,1000070000.0,-8.13,-0.85,4.83,1.43,2.24,19.0,0.16,6.9,0.15,-1.9,0.99,6.9,-0.46,13.4,-59.3,5.36,1.34,6.84,18.71,13.1,1.0,44477400000.0,26712900000.0,12548000000.0,14164900000.0,27410000000.0,1427620000.0,44329700000.0,13917900000.0,3076890000.0,1037480000.0,-847105000.0,442741000.0,
FICT3,2.99,ON,22/10/2025,FICTORALIMEN ON,0.94,Alimentos Processados,4.57,Carnes e Derivados,53848.0,131147000.0,30/06/2025,135514000.0,43862000.0,-5.49,-0.54,-13.37,-0.22,-19.37,94.1,-6.66,34.4,25.29,121.3,-113.55,-130.6,-9.24,-149.4,243.6,-18.55,0.41,-20.01,-0.45,-10.9,-3.8,5185000.0,4375000.0,8000.0,4367000.0,798000.0,-9810000.0,-19699000.0,,-6771000.0,-706000.0,-23894000.0,-707000.0,
MNPR3,40.0,ON,22/10/2025,MINUPAR ON,18.15,Alimentos Processados,42.8,Carnes e Derivados,146141.0,284000000.0,30/06/2025,181694000.0,7100000.0,0.55,72.99,1.48,26.96,3.67,29.5,0.69,18.8,0.66,126.4,1.92,18.0,-20.29,25.3,270.7,2.09,2.98,2.35,-,7.2,0.96,428604000.0,,102306000.0,-102306000.0,222959000.0,191451000.0,410286000.0,116568000.0,77315000.0,18777000.0,518256000.0,491952000.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAML3,5.52,ON NM,22/10/2025,CAMIL ON NM,3.36,Alimentos Processados,7.69,Alimentos Diversos,5134890.0,1932000000.0,31/08/2025,5652950000.0,350000000.0,11.75,0.47,0.56,9.8,3.72,19.9,0.16,4.4,0.17,1.4,0.9,4.6,-1.25,6.4,4.8,7.17,1.51,10.89,1.64,9.5,1.04,11340200000.0,5628150000.0,1907190000.0,3720950000.0,6364480000.0,3429760000.0,11768800000.0,2979670000.0,518897000.0,175835000.0,164415000.0,78703000.0,5.3
BRFS3,17.95,ON NM,22/09/2025,BRF Foods ON NM,16.22,Alimentos Processados,25.85,Carnes e Derivados,190709000.0,28579900000.0,30/06/2025,34231400000.0,1592190000.0,7.97,2.25,1.7,10.58,3.86,26.3,0.45,11.6,0.44,6.1,2.55,11.5,-2.14,22.0,21.3,3.13,1.52,4.63,1.23,9.0,0.99,64292600000.0,20745500000.0,15094000000.0,5651530000.0,32864000000.0,16846400000.0,63948600000.0,15364600000.0,7396920000.0,1696920000.0,3585590000.0,740621000.0,16.4
