Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ (3 meses),Rec Serviços,Rec Serviços (3 meses)
VIVT3,26.41,ON,17/04/2025,TELEF BRASIL ON,20.44,Telecomunicações,26.83,Telecomunicações,124530000.0,86130600000.0,31/12/2024,100186000000.0,3261290000.0,15.52,1.7,1.24,21.38,10.33,43.9,1.54,14.9,0.69,10.0,-59.66,6.7,-2.66,7.6,8.0,4.45,0.94,12.02,0.3,7.1,0.45,124941000000.0,20746500000.0,6691100000.0,14055400000.0,22814300000.0,69729600000.0,55845000000.0,14581400000.0,8334080000.0,1906270000.0,5547950000.0,1763040000.0,6.3,,,,,,
BRST3,2.62,ON NM,17/04/2025,BRISANET ON NM,2.41,Telecomunicações,3.26,Telecomunicações,648210.0,1147580000.0,31/12/2024,2510980000.0,438008000.0,18.88,0.14,0.76,3.46,6.24,42.1,0.8,12.9,0.29,4.3,12.15,4.6,-0.7,5.7,4.0,4.21,1.12,13.66,1.31,16.3,0.35,4026090000.0,1981440000.0,618046000.0,1363400000.0,877012000.0,1517180000.0,1427790000.0,382236000.0,183886000.0,55223000.0,60790000.0,4395000.0,1.6,,,,,,
RAIL3,18.88,ON NM,17/04/2025,RUMO SA ON NM,16.22,Transporte,23.85,Transporte Ferroviário,214111000.0,35019900000.0,31/12/2024,46681500000.0,1854870000.0,-36.51,-0.52,2.38,7.94,6.15,45.9,2.51,40.8,0.69,-6.8,8.33,11.3,-1.41,13.8,-6.5,4.19,1.63,8.2,1.3,19.4,0.28,50593000000.0,19123200000.0,7461620000.0,11661600000.0,10872600000.0,14731200000.0,13936400000.0,3463370000.0,5692170000.0,1215170000.0,-959247000.0,-264713000.0,0.5,,,,,,
GOLL4,1.45,PN,17/04/2025,GOL LINHAS AEREAS INTELIGENTES SA PN,0.98,Transporte,1.72,Transporte Aéreo,3363500.0,609600000.0,31/12/2024,20899200000.0,420414000.0,-0.1,-14.43,-0.02,-69.19,-1.25,30.0,0.03,-2.5,0.03,-31.7,-0.03,-2.0,-0.01,-2.6,20.9,14.89,0.27,-42.9,-0.78,36.7,0.8,23986300000.0,22624900000.0,2335260000.0,20289600000.0,7161900000.0,-29090500000.0,19129600000.0,5519010000.0,-487194000.0,-1308220000.0,-6067100000.0,-5116050000.0,,,,,,,
AZUL4,3.06,PN,17/04/2025,AZUL PN,3.0,Transporte,11.18,Transporte Aéreo,44811700.0,1408630000.0,31/12/2024,36611300000.0,460336000.0,0.15,19.96,-0.05,-66.12,0.38,26.7,0.07,19.0,0.05,47.1,-0.09,14.1,-0.03,17.8,-30.2,5.83,0.27,9.86,-1.2,35.9,0.74,26274900000.0,36484600000.0,1281910000.0,35202700000.0,5658020000.0,-30435300000.0,19526200000.0,5545450000.0,3714170000.0,1223220000.0,9190170000.0,13928900000.0,,,,,,,
ECOR3,6.19,ON NM,17/04/2025,ECORODOVIAS ON NM,4.03,Transporte,8.14,Exploração de Rodovias,27753800.0,4310310000.0,31/12/2024,20476600000.0,696334000.0,4.77,1.3,1.26,4.92,1.21,39.6,0.44,36.0,0.15,9.3,-1.85,12.1,-0.21,14.2,26.4,4.51,0.67,5.75,5.85,27.8,0.34,29296100000.0,20034900000.0,3868610000.0,16166300000.0,4726030000.0,3427360000.0,9872370000.0,2796670000.0,3558540000.0,906508000.0,904097000.0,142120000.0,3.1,,,,,,
TPIS3,4.16,ON NM,17/04/2025,TRIUNFO PARTICIPACOES SA ON NM,3.49,Transporte,6.74,Exploração de Rodovias,145904.0,183040000.0,31/12/2024,1558040000.0,44000000.0,5.14,0.81,0.2,20.98,0.67,34.3,0.14,20.7,0.07,1.4,-0.21,9.9,-0.11,10.4,3.9,3.4,0.21,5.68,1.55,6.2,0.48,2767000000.0,1428270000.0,53276000.0,1375000000.0,232680000.0,923024000.0,1322850000.0,324987000.0,274119000.0,48095000.0,35588000.0,-10284000.0,5.5,,,,,,
TGMA3,34.91,ON NM,17/04/2025,Tegma ON NM,21.25,Transporte,34.91,Transporte Rodoviário,8176590.0,2304160000.0,31/12/2024,2239900000.0,66003000.0,8.54,4.09,2.5,13.96,6.73,21.6,1.1,16.4,1.73,12.9,5.12,25.8,7.56,33.4,29.3,6.07,2.71,6.54,0.19,21.0,1.57,1329390000.0,177073000.0,241335000.0,-64262000.0,712728000.0,921409000.0,2090130000.0,624360000.0,342590000.0,114103000.0,269817000.0,85061000.0,7.4,,,,,,
PORT3,17.1,ON NM,17/04/2025,WILSON SONS ON NM,13.73,Transporte,17.56,Serviços de Apoio e Armazenagem,15128900.0,7540720000.0,31/12/2024,9862420000.0,440978000.0,15.56,1.1,2.65,6.46,8.76,47.3,2.58,29.4,1.12,16.7,36.08,12.8,-2.85,14.3,17.0,8.36,1.21,11.45,0.99,11.4,0.44,6705540000.0,2814090000.0,492387000.0,2321700000.0,1208730000.0,2847870000.0,2925890000.0,823656000.0,861217000.0,246056000.0,484676000.0,119998000.0,7.1,,,,,,
STBP3,13.43,ON NM,17/04/2025,SBPAR ON NM,9.52,Transporte,13.43,Serviços de Apoio e Armazenagem,62014800.0,11605800000.0,31/12/2024,13601600000.0,864170000.0,15.64,0.86,17.55,0.77,9.78,54.7,4.0,40.9,2.09,25.6,64.15,21.4,-3.12,25.6,112.2,9.39,1.18,11.46,4.12,29.8,0.52,5541640000.0,2725880000.0,730094000.0,1995790000.0,1161430000.0,661359000.0,2903020000.0,790692000.0,1186610000.0,328893000.0,741966000.0,206297000.0,20.2,,,,,,
CCRO3,12.52,ON NM,17/04/2025,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,10.07,Transporte,13.52,Exploração de Rodovias,143215000.0,25290400000.0,31/12/2024,52460300000.0,2020000000.0,20.25,0.62,1.86,6.74,4.88,33.7,1.16,23.8,0.43,6.0,5.87,8.8,-0.73,10.1,9.2,7.6,1.7,10.12,2.49,22.3,0.37,59097100000.0,33878700000.0,6708870000.0,27169900000.0,10441100000.0,13608900000.0,21783800000.0,6212750000.0,5182220000.0,1137660000.0,1248700000.0,217852000.0,3.3,,,,,,
LOGN3,21.25,ON NM,17/04/2025,Log-In ON NM,19.6,Transporte,42.44,Transporte Hidroviário,856521.0,2280260000.0,31/12/2024,3672210000.0,107306000.0,42.54,0.5,2.35,9.03,8.92,15.9,0.82,9.1,0.6,1.9,21.72,6.7,-1.23,7.5,5.5,6.87,1.12,14.37,1.74,26.3,0.73,3812830000.0,1689150000.0,297203000.0,1391940000.0,990429000.0,968669000.0,2795760000.0,784905000.0,255584000.0,100681000.0,53600000.0,50935000.0,,,,,,,
UCAS3,1.62,ON NM,17/04/2025,UNICASA ON NM,1.39,Utilidades Domésticas,2.3,Móveis,98314.0,107059000.0,31/12/2024,171978000.0,66086000.0,8.6,0.19,0.56,2.91,51.03,38.1,0.47,0.9,0.29,5.5,3.33,0.6,-1.58,0.6,6.5,10.53,1.43,81.97,0.52,8.4,0.62,366975000.0,100107000.0,35188000.0,64919000.0,106980000.0,192382000.0,226559000.0,64490000.0,2098000.0,-727000.0,12449000.0,6225000.0,11.2,,,,,,
CVCB3,2.23,ON NM,17/04/2025,CVC BRASIL ON NM,1.38,Viagens e Lazer,2.84,Viagens e Turismo,42810400.0,1172070000.0,31/12/2024,1204400000.0,525591000.0,-11.34,-0.2,2.2,1.01,12.07,92.5,0.82,6.8,0.31,-7.3,-3.85,2.5,-1.08,3.5,-19.4,3.77,0.88,12.4,1.02,24.5,0.37,3840650000.0,542321000.0,509993000.0,32328000.0,2226990000.0,531632000.0,1420760000.0,375139000.0,97129000.0,16307000.0,-103341000.0,-61233000.0,,,,,,,
SMFT3,23.1,ON NM,17/04/2025,SMART FIT ON NM,16.58,Viagens e Lazer,24.74,Atividades Esportivas,65696600.0,13796500000.0,31/12/2024,16763700000.0,597250000.0,31.61,0.73,2.53,9.14,10.72,41.4,2.47,23.1,0.75,7.9,10.45,7.0,-1.57,8.6,8.0,6.21,1.47,13.03,1.08,47.6,0.3,18350300000.0,5914610000.0,2947380000.0,2967240000.0,4112290000.0,5455900000.0,5580300000.0,1540600000.0,1286610000.0,359695000.0,436440000.0,164401000.0,2.5,,,,,,
