Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ (3 meses),Rec Serviços,Rec Serviços (3 meses)
NTCO3,9.34,ON NM,17/04/2025,GRUPO NATURA ON NM,9.11,Produtos de Uso Pessoal e de Limpeza,17.59,Produtos de Uso Pessoal,202713000.0,12988300000.0,31/12/2024,15372900000.0,1390620000.0,-1.45,-6.42,0.83,11.27,5.43,65.2,0.54,9.9,0.35,-37.1,2.35,6.4,-2.05,9.1,-57.0,4.58,1.58,6.43,0.44,-11.8,0.65,37133400000.0,6842680000.0,4458130000.0,2384560000.0,15139500000.0,15671400000.0,24089800000.0,4655540000.0,2389970000.0,819137000.0,-8929860000.0,-442706000.0,,,,,,,
ENJU3,1.14,ON NM,17/04/2025,ENJOEI ON NM,0.93,Programas e Serviços,2.78,Programas e Serviços,1276830.0,233720000.0,31/12/2024,34920500.0,205018000.0,-9.76,-0.12,0.73,1.56,-6.12,56.0,0.88,-14.4,0.55,-9.0,1.38,-9.0,1.72,-19.2,-7.5,-16.82,3.49,-0.91,-,35.2,0.63,422174000.0,,198800000.0,-198800000.0,237806000.0,320453000.0,265221000.0,68138000.0,-38165000.0,-6988010.0,-23935000.0,-3243000.0,,,,,,,
NGRD3,19.95,ON NM,17/04/2025,NEOGRID ON NM,19.16,Programas e Serviços,33.75,Programas e Serviços,601946.0,182362000.0,31/12/2024,57802800.0,9140940.0,-5.39,-3.7,0.4,49.55,-7.54,59.2,0.67,-8.8,0.3,-12.3,1.26,-4.0,2.68,-5.5,-7.5,1.82,2.86,-2.39,0.04,6.1,0.45,606878000.0,18009000.0,142568000.0,-124559000.0,221918000.0,452974000.0,274098000.0,69674000.0,-24193000.0,-3377010.0,-33816000.0,-17850000.0,0.7,,,,,,
TRAD3,7.0,ON NM,17/04/2025,TC ON NM,2.43,Programas e Serviços,8.32,Programas e Serviços,274169.0,280147000.0,31/12/2024,248501000.0,40021000.0,-3.27,-2.14,1.41,4.96,-5.42,30.3,6.36,-117.4,1.29,-197.1,5.48,-23.8,5.95,-28.3,-43.2,-6.27,4.21,-4.81,0.01,-23.1,0.2,216781000.0,2610000.0,34256000.0,-31646000.0,67034000.0,198545000.0,44015000.0,8822000.0,-51688000.0,-12075000.0,-85697000.0,-34144000.0,,,,,,,
WEST3,4.91,ON NM,17/04/2025,WESTWING ON NM,4.51,Programas e Serviços,12.1,Programas e Serviços,18114.0,54546900.0,31/12/2024,-61942100.0,11109300.0,-2.13,-2.3,0.24,20.72,-1.04,40.0,0.33,-31.2,0.17,-15.2,0.46,-16.6,0.53,-35.0,-11.1,1.85,2.75,1.18,0.05,-19.3,0.53,315028000.0,10447000.0,126936000.0,-116489000.0,187780000.0,230203000.0,167739000.0,41507000.0,-52384000.0,-10648000.0,-25560000.0,-1950000.0,,,,,,,
MBLY3,1.04,ON NM,17/04/2025,MOBLY ON NM,0.97,Programas e Serviços,3.08,Programas e Serviços,339429.0,127674000.0,31/12/2024,462471000.0,122763000.0,-0.86,-1.22,0.35,2.93,-1.91,46.2,0.16,-8.2,0.06,-20.2,1.34,-3.3,-0.11,-3.8,-41.4,12.42,1.16,-6.91,0.99,3.1,0.4,2031020000.0,357833000.0,23036000.0,334797000.0,697717000.0,360011000.0,811197000.0,378453000.0,-66896000.0,904000.0,-149179000.0,-90452000.0,,,,,,,
IFCM3,0.09,ON NM,17/04/2025,INFRACOMM ON NM,0.05,Programas e Serviços,0.66,Programas e Serviços,2270460.0,71814400.0,31/12/2024,748963000.0,797937000.0,-0.04,-2.2,-0.69,-0.13,-0.05,29.0,0.07,-147.5,0.05,-164.8,-0.15,-103.5,-0.08,-152.8,1675.9,-0.52,0.61,-0.48,-7.69,48.4,0.7,1517560000.0,805528000.0,128379000.0,677149000.0,738665000.0,-104790000.0,1065320000.0,331164000.0,-1571010000.0,-1358790000.0,-1756140000.0,-36748000.0,,,,,,,
BMOB3,17.3,ON NM,17/04/2025,BEMOBI TECH ON NM,11.21,Programas e Serviços,17.7,Programas e Serviços,5416070.0,1481030000.0,31/12/2024,892450000.0,85608400.0,12.4,1.4,1.27,13.63,12.55,23.0,0.99,7.9,0.91,8.0,2.23,7.3,2.42,12.9,10.2,4.83,2.63,7.56,-,70.2,0.92,1627210000.0,,588575000.0,-588575000.0,1068750000.0,1166500000.0,1498070000.0,399833000.0,118032000.0,32497000.0,119467000.0,41416000.0,3.7,,,,,,
TOTS3,36.64,ON NM,17/04/2025,TOTVS ON NM,26.03,Programas e Serviços,36.64,Programas e Serviços,131505000.0,21962100000.0,31/12/2024,21681500000.0,599402000.0,30.61,1.2,4.69,7.81,11.56,69.5,4.2,36.4,2.57,14.1,13.56,22.3,-28.12,29.8,15.3,9.74,2.42,11.41,0.35,18.8,0.61,8531720000.0,1661550000.0,1942160000.0,-280613000.0,2763560000.0,4681350000.0,5224010000.0,1351440000.0,1900530000.0,525177000.0,717513000.0,184997000.0,1.6,,,,,,
BRKM3,10.31,ON N1,17/04/2025,BRASKEM ON N1,9.4,Químicos,22.31,Petroquímicos,249864.0,8219210000.0,31/12/2024,44679200000.0,797208000.0,-0.73,-14.2,-1.72,-6.0,9.09,7.7,0.11,1.2,0.08,-15.6,0.94,0.9,-0.12,1.3,236.7,7.63,1.31,49.42,-11.13,1.6,0.76,101575000000.0,53232000000.0,16772000000.0,36460000000.0,37037000000.0,-4782000000.0,77411000000.0,19152000000.0,904000000.0,-307000000.0,-11320000000.0,-5159000000.0,,,,,,,
FHER3,3.71,ON NM,17/04/2025,Fer Heringer ON NM,3.2,Químicos,9.3,Fertilizantes e Defensivos,143412.0,199809000.0,31/12/2024,125978000.0,53857000.0,-0.17,-21.44,-0.17,-21.3,-0.79,2.9,0.04,-5.5,0.06,-25.1,-0.34,-8.2,-0.1,-46.0,100.7,-0.65,0.79,-0.5,-0.02,18.3,1.48,3115900000.0,24574000.0,98405000.0,-73831000.0,2257510000.0,-1147220000.0,4608580000.0,1387110000.0,-254472000.0,-99626000.0,-1154740000.0,-658476000.0,,,,,,,
DEXP3,7.8,ON,17/04/2025,DEXXOS PAR ON,7.4,Químicos,11.11,Petroquímicos,730625.0,852626000.0,31/12/2024,789984000.0,109311000.0,5.91,1.32,0.9,8.7,5.47,19.4,0.47,8.6,0.55,8.5,1.24,10.0,2.23,14.3,15.2,4.21,3.28,5.06,0.29,12.5,1.16,1557120000.0,279119000.0,341761000.0,-62642000.0,988510000.0,951170000.0,1810390000.0,489425000.0,156012000.0,24685000.0,144196000.0,35177000.0,6.1,,,,,,
VITT3,4.9,ON NM,17/04/2025,VITTIA ON NM,4.85,Químicos,6.3,Fertilizantes e Defensivos,1276270.0,736539000.0,31/12/2024,911089000.0,150314000.0,9.75,0.5,1.16,4.22,8.59,33.8,0.94,10.9,0.77,9.6,2.0,9.0,2.71,9.7,11.9,8.46,2.67,10.63,0.37,7.9,0.83,953178000.0,233178000.0,58628000.0,174550000.0,590289000.0,634772000.0,786619000.0,255788000.0,85737000.0,47322000.0,75526000.0,46517000.0,3.5,,,,,,
GGPS3,14.22,ON NM,17/04/2025,GPS ON NM,12.43,Serviços Diversos,18.86,Serviços Diversos,39112100.0,9630930000.0,31/12/2024,11811700000.0,677281000.0,14.64,0.97,2.77,5.13,8.41,15.1,0.65,7.8,0.67,4.5,2.19,8.0,-2.9,10.6,18.9,7.67,2.39,10.31,1.5,30.5,1.03,14370400000.0,5207290000.0,3026520000.0,2180770000.0,7563550000.0,3477230000.0,14774400000.0,4096690000.0,1145310000.0,219707000.0,657826000.0,236193000.0,2.3,,,,,,
