Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield
AGXY3,5.01,ON NM,02/12/2025,AGROGALAXY ON NM,5.01,Agropecuária,11.85,Agricultura,91640.0,85017600.0,30/09/2025,1032220000.0,16969600.0,0.07,72.3,-0.46,-10.93,-0.12,-1.1,0.05,-41.4,0.04,69.7,0.17,-32.7,-0.06,-35.5,-661.5,-1.78,2.19,-1.43,-5.42,-25.2,0.79,2215350000.0,1004720000.0,57512000.0,947203000.0,917238000.0,-185458000.0,1751250000.0,440746000.0,-724351000.0,-211776000.0,1226880000.0,-639118000.0,
AGRO3,19.65,ON NM,02/12/2025,BRASILAGRO ON NM,18.59,Agropecuária,22.83,Agricultura,3370970.0,2017730000.0,30/09/2025,3108890000.0,102683000.0,-85.09,-0.23,0.96,20.49,28.41,19.3,1.97,6.9,0.53,-2.3,4.22,1.9,-3.78,2.1,-1.1,22.4,1.67,43.78,0.63,-10.0,0.27,3825850000.0,1327380000.0,236222000.0,1091160000.0,1188400000.0,2103470000.0,1022930000.0,286643000.0,71013000.0,-37292000.0,-23713000.0,-64275000.0,3.8
TTEN3,16.11,ON NM,02/12/2025,3TENTOS ON NM,12.92,Agropecuária,16.9,Agricultura,19014600.0,8046910000.0,30/09/2025,9973050000.0,499498000.0,9.32,1.73,1.71,9.4,10.03,15.5,0.51,5.0,0.65,5.4,3.19,6.5,27.28,10.7,18.4,10.89,1.46,12.43,0.87,36.9,1.29,12381600000.0,4095820000.0,2169680000.0,1926140000.0,7973510000.0,4693380000.0,15910400000.0,4994880000.0,802075000.0,25642000.0,863596000.0,203521000.0,1.2
SLCE3,16.45,ON NM,02/12/2025,SLC Agricola ON NM,15.65,Agropecuária,20.25,Agricultura,28652800.0,7292770000.0,30/09/2025,13253200000.0,443330000.0,12.64,1.3,1.38,11.88,3.72,30.5,0.77,20.6,0.36,6.1,2.29,9.6,-1.18,11.3,11.0,5.64,1.55,6.76,1.46,9.0,0.46,20525500000.0,7681010000.0,1720580000.0,5960430000.0,8994610000.0,5265740000.0,9513650000.0,2379040000.0,1961750000.0,350022000.0,576739000.0,-10988000.0,3.3
SOJA3,8.61,ON NM,02/12/2025,BOA SAFRA ON NM,8.56,Agropecuária,12.05,Agricultura,7421700.0,1165120000.0,30/09/2025,1564140000.0,135322000.0,11.51,0.75,0.84,10.28,6.27,13.2,0.5,7.9,0.28,8.0,0.59,4.5,1.81,6.6,7.3,6.55,3.67,8.41,0.96,23.7,0.57,4102580000.0,1328890000.0,929881000.0,399012000.0,2712490000.0,1390680000.0,2344440000.0,1131100000.0,185967000.0,104870000.0,101266000.0,35025000.0,1.7
LAND3,8.25,ON NM,02/12/2025,TERRASANTAPA ON NM,7.26,Agropecuária,15.85,Agricultura,820549.0,793873000.0,30/09/2025,838028000.0,96227000.0,-84.59,-0.1,1.22,6.78,13.87,95.1,8.8,63.5,0.93,-10.4,-73.46,6.7,-5.24,6.9,-1.4,13.9,0.82,14.64,0.1,-10.6,0.11,853156000.0,65859000.0,21704000.0,44155000.0,49361000.0,652360000.0,90190000.0,22057000.0,57235000.0,13480000.0,-9385000.0,-18333000.0,0.9
AMBP3,0.31,ON NM,02/12/2025,AMBIPAR ON NM,0.25,Água e Saneamento,26.85,Água e Saneamento,24344700.0,517830000.0,30/06/2025,6874240000.0,1670420000.0,-2.02,-0.15,0.47,0.65,0.46,18.2,0.07,15.6,0.03,-2.6,0.11,6.7,-0.07,9.6,-23.5,3.45,2.72,6.1,10.1,56.8,0.43,16918400000.0,11041300000.0,4684890000.0,6356410000.0,7328510000.0,1093330000.0,7243010000.0,1770720000.0,1127250000.0,260980000.0,-256625000.0,-171760000.0,
SAPR4,7.6,PN,02/12/2025,SANEPAR PN,4.87,Água e Saneamento,7.6,Água e Saneamento,8645380.0,11485200000.0,30/09/2025,12860900000.0,1511210000.0,5.39,1.41,0.95,7.96,5.68,56.5,1.62,28.5,0.44,30.1,7.1,7.8,-1.77,10.3,17.7,4.89,1.28,6.36,0.6,9.1,0.27,26002100000.0,7255710000.0,5880010000.0,1375700000.0,7487440000.0,12030700000.0,7090980000.0,1804170000.0,2022600000.0,602999000.0,2131110000.0,246401000.0,5.9
SAPR11,38.53,UNT N2,02/12/2025,SANEPAR UNT N2,24.38,Água e Saneamento,38.53,Água e Saneamento,48348500.0,11645300000.0,30/09/2025,13021000000.0,1511210000.0,5.46,7.05,0.97,39.81,5.76,56.5,1.64,28.5,0.45,30.1,7.2,7.8,-1.8,10.3,17.7,4.95,1.28,6.44,0.6,9.1,0.27,26002100000.0,7255710000.0,5880010000.0,1375700000.0,7487440000.0,12030700000.0,7090980000.0,1804170000.0,2022600000.0,602999000.0,2131110000.0,246401000.0,5.7
SAPR3,7.89,ON,02/12/2025,SANEPAR ON,4.89,Água e Saneamento,8.06,Água e Saneamento,1349600.0,11923400000.0,30/09/2025,13299100000.0,1511210000.0,5.59,1.41,0.99,7.96,5.9,56.5,1.68,28.5,0.46,30.1,7.37,7.8,-1.84,10.3,17.7,5.06,1.28,6.58,0.6,9.1,0.27,26002100000.0,7255710000.0,5880010000.0,1375700000.0,7487440000.0,12030700000.0,7090980000.0,1804170000.0,2022600000.0,602999000.0,2131110000.0,246401000.0,5.2
SBSP3,143.88,ON NM,02/12/2025,SABESP ON NM,84.12,Água e Saneamento,143.88,Água e Saneamento,399837000.0,98343400000.0,30/09/2025,121620000000.0,683510000.0,13.64,10.55,2.3,62.49,9.29,38.5,2.84,30.6,1.02,20.8,39.24,11.0,-2.71,12.8,16.9,9.52,1.17,11.49,0.82,18.4,0.36,95987500000.0,34926400000.0,11649900000.0,23276600000.0,17040900000.0,42710300000.0,34654500000.0,9424890000.0,10587200000.0,2580610000.0,7211540000.0,2158570000.0,2.6
CSMG3,43.61,ON,02/12/2025,COPASA MG ON,19.0,Água e Saneamento,43.61,Água e Saneamento,75545800.0,16582800000.0,30/09/2025,22577200000.0,380253000.0,12.28,3.55,1.93,22.65,7.68,42.3,2.03,26.4,0.99,16.5,50.41,12.9,-2.82,13.7,15.7,7.36,1.17,10.46,0.77,9.8,0.49,16780100000.0,6627490000.0,633079000.0,5994410000.0,2283900000.0,8612450000.0,8161980000.0,2114590000.0,2158280000.0,534452000.0,1350710000.0,360830000.0,4.0
ORVR3,64.3,ON NM,02/12/2025,ORIZON ON NM,36.22,Água e Saneamento,64.3,Água e Saneamento,29054300.0,6180960000.0,30/09/2025,7251970000.0,96126900.0,204.15,0.31,4.34,14.82,22.52,45.3,6.08,27.0,1.46,4.2,6.45,6.5,-4.98,9.0,2.1,15.79,2.93,26.43,1.48,26.1,0.24,4224170000.0,2106730000.0,1035710000.0,1071020000.0,1453300000.0,1424700000.0,1016240000.0,281050000.0,274433000.0,86439000.0,30276000.0,23288000.0,
JALL3,2.9,ON NM,02/12/2025,JALLESMACHAD ON NM,2.55,Alimentos Processados,5.13,Açucar e Alcool,3251390.0,880271000.0,30/09/2025,4225660000.0,303542000.0,-10.68,-0.27,0.44,6.62,-10.0,11.8,0.35,-3.5,0.12,-3.2,0.49,-1.2,-0.34,-1.5,-4.1,3.62,2.74,-48.02,2.41,16.2,0.34,7446330000.0,4831300000.0,1485910000.0,3345390000.0,2841190000.0,2008130000.0,2539760000.0,640689000.0,-87995000.0,40126000.0,-82390000.0,18918000.0,
BEEF3,6.1,ON NM,02/12/2025,Minerva ON NM,3.47,Alimentos Processados,7.44,Carnes e Derivados,98568700.0,6100730000.0,30/09/2025,17898000000.0,1000120000.0,-7.49,-0.81,4.72,1.29,1.72,17.9,0.12,6.9,0.13,-1.6,0.83,7.8,-0.4,17.0,-63.1,3.99,1.35,5.04,20.66,14.5,1.13,45345900000.0,26690500000.0,14893200000.0,11797300000.0,28397300000.0,1291830000.0,51340500000.0,15512200000.0,3554130000.0,1110120000.0,-815049000.0,118114000.0,
FICT3,2.71,ON,02/12/2025,FICTORALIMEN ON,1.11,Alimentos Processados,4.57,Carnes e Derivados,49452.0,118866000.0,30/09/2025,76462000.0,43862000.0,-4.64,-0.58,2.0,1.35,-13.86,-727.3,34.26,-247.1,1.32,-738.9,2.15,-9.5,2.37,-43.6,-43.2,-12.75,3.17,-8.92,0.17,-36.0,0.04,90012000.0,10317000.0,52721000.0,-42404000.0,80830000.0,59287000.0,3470000.0,31095000.0,-8574000.0,-1842000.0,-25639000.0,-2292000.0,
MNPR3,4.95,ON,02/12/2025,MINUPAR ON,2.06,Alimentos Processados,5.78,Carnes e Derivados,159849.0,351455000.0,30/09/2025,232188000.0,71001000.0,0.67,7.33,1.74,2.84,4.53,28.9,0.82,18.1,0.8,121.8,2.26,17.6,-56.71,25.7,258.3,2.65,3.01,3.0,-,6.2,0.97,441203000.0,,119267000.0,-119267000.0,233217000.0,201583000.0,427917000.0,104923000.0,77520000.0,16165000.0,520772000.0,10132000.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
